,date,big_cat,sm_cat,sum_qty
1,20180101,바디케어,입욕제,697
2,20180102,바디케어,입욕제,806
3,20180103,바디케어,입욕제,735
4,20180104,바디케어,입욕제,672
5,20180105,바디케어,입욕제,586
6,20180106,바디케어,입욕제,993
7,20180107,바디케어,입욕제,646
8,20180108,바디케어,입욕제,804
9,20180109,바디케어,입욕제,786
10,20180110,바디케어,입욕제,818
11,20180111,바디케어,입욕제,936
12,20180112,바디케어,입욕제,623
13,20180113,바디케어,입욕제,474
14,20180114,바디케어,입욕제,611
15,20180115,바디케어,입욕제,948
16,20180116,바디케어,입욕제,743
17,20180117,바디케어,입욕제,714
18,20180118,바디케어,입욕제,631
19,20180119,바디케어,입욕제,504
20,20180120,바디케어,입욕제,502
21,20180121,바디케어,입욕제,557
22,20180122,바디케어,입욕제,737
23,20180123,바디케어,입욕제,749
24,20180124,바디케어,입욕제,777
25,20180125,바디케어,입욕제,804
26,20180126,바디케어,입욕제,810
27,20180127,바디케어,입욕제,555
28,20180128,바디케어,입욕제,898
29,20180129,바디케어,입욕제,769
30,20180130,바디케어,입욕제,751
31,20180131,바디케어,입욕제,800
32,20180201,바디케어,입욕제,758
33,20180202,바디케어,입욕제,644
34,20180203,바디케어,입욕제,489
35,20180204,바디케어,입욕제,634
36,20180205,바디케어,입욕제,819
37,20180206,바디케어,입욕제,1079
38,20180207,바디케어,입욕제,950
39,20180208,바디케어,입욕제,799
40,20180209,바디케어,입욕제,591
41,20180210,바디케어,입욕제,558
42,20180211,바디케어,입욕제,566
43,20180212,바디케어,입욕제,622
44,20180213,바디케어,입욕제,473
45,20180214,바디케어,입욕제,706
46,20180215,바디케어,입욕제,328
47,20180216,바디케어,입욕제,328
48,20180217,바디케어,입욕제,453
49,20180218,바디케어,입욕제,742
50,20180219,바디케어,입욕제,1142
51,20180220,바디케어,입욕제,834
52,20180221,바디케어,입욕제,791
53,20180222,바디케어,입욕제,760
54,20180223,바디케어,입욕제,625
55,20180224,바디케어,입욕제,555
56,20180225,바디케어,입욕제,645
57,20180226,바디케어,입욕제,840
58,20180227,바디케어,입욕제,829
59,20180228,바디케어,입욕제,685
60,20180301,바디케어,입욕제,735
61,20180302,바디케어,입욕제,613
62,20180303,바디케어,입욕제,468
63,20180304,바디케어,입욕제,643
64,20180305,바디케어,입욕제,743
65,20180306,바디케어,입욕제,749
66,20180307,바디케어,입욕제,707
67,20180308,바디케어,입욕제,599
68,20180309,바디케어,입욕제,540
69,20180310,바디케어,입욕제,432
70,20180311,바디케어,입욕제,538
71,20180312,바디케어,입욕제,825
72,20180313,바디케어,입욕제,674
73,20180314,바디케어,입욕제,791
74,20180315,바디케어,입욕제,668
75,20180316,바디케어,입욕제,543
76,20180317,바디케어,입욕제,373
77,20180318,바디케어,입욕제,458
78,20180319,바디케어,입욕제,757
79,20180320,바디케어,입욕제,591
80,20180321,바디케어,입욕제,689
81,20180322,바디케어,입욕제,601
82,20180323,바디케어,입욕제,466
83,20180324,바디케어,입욕제,363
84,20180325,바디케어,입욕제,521
85,20180326,바디케어,입욕제,636
86,20180327,바디케어,입욕제,567
87,20180328,바디케어,입욕제,542
88,20180329,바디케어,입욕제,486
89,20180330,바디케어,입욕제,414
90,20180331,바디케어,입욕제,391
91,20180401,바디케어,입욕제,604
92,20180402,바디케어,입욕제,775
93,20180403,바디케어,입욕제,606
94,20180404,바디케어,입욕제,622
95,20180405,바디케어,입욕제,574
96,20180406,바디케어,입욕제,467
97,20180407,바디케어,입욕제,468
98,20180408,바디케어,입욕제,565
99,20180409,바디케어,입욕제,655
100,20180410,바디케어,입욕제,824
101,20180411,바디케어,입욕제,655
102,20180412,바디케어,입욕제,657
103,20180413,바디케어,입욕제,548
104,20180414,바디케어,입욕제,417
105,20180415,바디케어,입욕제,645
106,20180416,바디케어,입욕제,761
107,20180417,바디케어,입욕제,666
108,20180418,바디케어,입욕제,701
109,20180419,바디케어,입욕제,663
110,20180420,바디케어,입욕제,539
111,20180421,바디케어,입욕제,384
112,20180422,바디케어,입욕제,535
113,20180423,바디케어,입욕제,706
114,20180424,바디케어,입욕제,775
115,20180425,바디케어,입욕제,667
116,20180426,바디케어,입욕제,624
117,20180427,바디케어,입욕제,503
118,20180428,바디케어,입욕제,432
119,20180429,바디케어,입욕제,467
120,20180430,바디케어,입욕제,608
121,20180501,바디케어,입욕제,483
122,20180502,바디케어,입욕제,658
123,20180503,바디케어,입욕제,602
124,20180504,바디케어,입욕제,497
125,20180505,바디케어,입욕제,419
126,20180506,바디케어,입욕제,369
127,20180507,바디케어,입욕제,401
128,20180508,바디케어,입욕제,429
129,20180509,바디케어,입욕제,517
130,20180510,바디케어,입욕제,709
131,20180511,바디케어,입욕제,549
132,20180512,바디케어,입욕제,530
133,20180513,바디케어,입욕제,468
134,20180514,바디케어,입욕제,341
135,20180515,바디케어,입욕제,497
136,20180516,바디케어,입욕제,710
137,20180517,바디케어,입욕제,553
138,20180518,바디케어,입욕제,592
139,20180519,바디케어,입욕제,518
140,20180520,바디케어,입욕제,440
141,20180521,바디케어,입욕제,345
142,20180522,바디케어,입욕제,470
143,20180523,바디케어,입욕제,602
144,20180524,바디케어,입욕제,701
145,20180525,바디케어,입욕제,552
146,20180526,바디케어,입욕제,478
147,20180527,바디케어,입욕제,478
148,20180528,바디케어,입욕제,357
149,20180529,바디케어,입욕제,362
150,20180530,바디케어,입욕제,474
151,20180531,바디케어,입욕제,507
152,20180601,바디케어,입욕제,604
153,20180602,바디케어,입욕제,517
154,20180603,바디케어,입욕제,606
155,20180604,바디케어,입욕제,748
156,20180605,바디케어,입욕제,618
157,20180606,바디케어,입욕제,550
158,20180607,바디케어,입욕제,597
159,20180608,바디케어,입욕제,586
160,20180609,바디케어,입욕제,434
161,20180610,바디케어,입욕제,552
162,20180611,바디케어,입욕제,739
163,20180612,바디케어,입욕제,666
164,20180613,바디케어,입욕제,560
165,20180614,바디케어,입욕제,632
166,20180615,바디케어,입욕제,652
167,20180616,바디케어,입욕제,430
168,20180617,바디케어,입욕제,548
169,20180618,바디케어,입욕제,650
170,20180619,바디케어,입욕제,636
171,20180620,바디케어,입욕제,635
172,20180621,바디케어,입욕제,628
173,20180622,바디케어,입욕제,455
174,20180623,바디케어,입욕제,379
175,20180624,바디케어,입욕제,495
176,20180625,바디케어,입욕제,801
177,20180626,바디케어,입욕제,702
178,20180627,바디케어,입욕제,721
179,20180628,바디케어,입욕제,531
180,20180629,바디케어,입욕제,424
181,20180630,바디케어,입욕제,406
182,20180701,바디케어,입욕제,495
183,20180702,바디케어,입욕제,675
184,20180703,바디케어,입욕제,652
185,20180704,바디케어,입욕제,562
186,20180705,바디케어,입욕제,519
187,20180706,바디케어,입욕제,445
188,20180707,바디케어,입욕제,338
189,20180708,바디케어,입욕제,514
190,20180709,바디케어,입욕제,666
191,20180710,바디케어,입욕제,633
192,20180711,바디케어,입욕제,690
193,20180712,바디케어,입욕제,786
194,20180713,바디케어,입욕제,483
195,20180714,바디케어,입욕제,392
196,20180715,바디케어,입욕제,489
197,20180716,바디케어,입욕제,613
198,20180717,바디케어,입욕제,546
199,20180718,바디케어,입욕제,566
200,20180719,바디케어,입욕제,490
201,20180720,바디케어,입욕제,427
202,20180721,바디케어,입욕제,334
203,20180722,바디케어,입욕제,423
204,20180723,바디케어,입욕제,551
205,20180724,바디케어,입욕제,657
206,20180725,바디케어,입욕제,555
207,20180726,바디케어,입욕제,572
208,20180727,바디케어,입욕제,464
209,20180728,바디케어,입욕제,381
210,20180729,바디케어,입욕제,440
211,20180730,바디케어,입욕제,497
212,20180731,바디케어,입욕제,473
213,20180801,바디케어,입욕제,474
214,20180802,바디케어,입욕제,512
215,20180803,바디케어,입욕제,432
216,20180804,바디케어,입욕제,366
217,20180805,바디케어,입욕제,505
218,20180806,바디케어,입욕제,709
219,20180807,바디케어,입욕제,560
220,20180808,바디케어,입욕제,550
221,20180809,바디케어,입욕제,487
222,20180810,바디케어,입욕제,461
223,20180811,바디케어,입욕제,402
224,20180812,바디케어,입욕제,459
225,20180813,바디케어,입욕제,586
226,20180814,바디케어,입욕제,476
227,20180815,바디케어,입욕제,519
228,20180816,바디케어,입욕제,578
229,20180817,바디케어,입욕제,400
230,20180818,바디케어,입욕제,341
231,20180819,바디케어,입욕제,418
232,20180820,바디케어,입욕제,550
233,20180821,바디케어,입욕제,520
234,20180822,바디케어,입욕제,425
235,20180823,바디케어,입욕제,550
236,20180824,바디케어,입욕제,452
237,20180825,바디케어,입욕제,545
238,20180826,바디케어,입욕제,488
239,20180827,바디케어,입욕제,521
240,20180828,바디케어,입욕제,510
241,20180829,바디케어,입욕제,477
242,20180830,바디케어,입욕제,415
243,20180831,바디케어,입욕제,441
244,20180901,바디케어,입욕제,300
245,20180902,바디케어,입욕제,770
246,20180903,바디케어,입욕제,546
247,20180904,바디케어,입욕제,521
248,20180905,바디케어,입욕제,584
249,20180906,바디케어,입욕제,545
250,20180907,바디케어,입욕제,459
251,20180908,바디케어,입욕제,299
252,20180909,바디케어,입욕제,799
253,20180910,바디케어,입욕제,696
254,20180911,바디케어,입욕제,616
255,20180912,바디케어,입욕제,725
256,20180913,바디케어,입욕제,513
257,20180914,바디케어,입욕제,568
258,20180915,바디케어,입욕제,387
259,20180916,바디케어,입욕제,466
260,20180917,바디케어,입욕제,595
261,20180918,바디케어,입욕제,541
262,20180919,바디케어,입욕제,485
263,20180920,바디케어,입욕제,484
264,20180921,바디케어,입욕제,310
265,20180922,바디케어,입욕제,260
266,20180923,바디케어,입욕제,424
267,20180924,바디케어,입욕제,260
268,20180925,바디케어,입욕제,488
269,20180926,바디케어,입욕제,726
270,20180927,바디케어,입욕제,811
271,20180928,바디케어,입욕제,659
272,20180929,바디케어,입욕제,494
273,20180930,바디케어,입욕제,598
274,20181001,바디케어,입욕제,734
275,20181002,바디케어,입욕제,647
276,20181003,바디케어,입욕제,659
277,20181004,바디케어,입욕제,628
278,20181005,바디케어,입욕제,658
279,20181006,바디케어,입욕제,417
280,20181007,바디케어,입욕제,513
281,20181008,바디케어,입욕제,630
282,20181009,바디케어,입욕제,532
283,20181010,바디케어,입욕제,784
284,20181011,바디케어,입욕제,720
285,20181012,바디케어,입욕제,628
286,20181013,바디케어,입욕제,497
287,20181014,바디케어,입욕제,576
288,20181015,바디케어,입욕제,1073
289,20181016,바디케어,입욕제,1027
290,20181017,바디케어,입욕제,617
291,20181018,바디케어,입욕제,548
292,20181019,바디케어,입욕제,591
293,20181020,바디케어,입욕제,437
294,20181021,바디케어,입욕제,580
295,20181022,바디케어,입욕제,1049
296,20181023,바디케어,입욕제,680
297,20181024,바디케어,입욕제,668
298,20181025,바디케어,입욕제,640
299,20181026,바디케어,입욕제,679
300,20181027,바디케어,입욕제,441
301,20181028,바디케어,입욕제,576
302,20181029,바디케어,입욕제,669
303,20181030,바디케어,입욕제,720
304,20181031,바디케어,입욕제,963
305,20181101,바디케어,입욕제,743
306,20181102,바디케어,입욕제,866
307,20181103,바디케어,입욕제,584
308,20181104,바디케어,입욕제,654
309,20181105,바디케어,입욕제,794
310,20181106,바디케어,입욕제,753
311,20181107,바디케어,입욕제,741
312,20181108,바디케어,입욕제,620
313,20181109,바디케어,입욕제,545
314,20181110,바디케어,입욕제,484
315,20181111,바디케어,입욕제,674
316,20181112,바디케어,입욕제,813
317,20181113,바디케어,입욕제,703
318,20181114,바디케어,입욕제,692
319,20181115,바디케어,입욕제,774
320,20181116,바디케어,입욕제,611
321,20181117,바디케어,입욕제,488
322,20181118,바디케어,입욕제,526
323,20181119,바디케어,입욕제,719
324,20181120,바디케어,입욕제,864
325,20181121,바디케어,입욕제,724
326,20181122,바디케어,입욕제,618
327,20181123,바디케어,입욕제,594
328,20181124,바디케어,입욕제,400
329,20181125,바디케어,입욕제,630
330,20181126,바디케어,입욕제,888
331,20181127,바디케어,입욕제,778
332,20181128,바디케어,입욕제,745
333,20181129,바디케어,입욕제,676
334,20181130,바디케어,입욕제,632
335,20181201,바디케어,입욕제,481
336,20181202,바디케어,입욕제,578
337,20181203,바디케어,입욕제,730
338,20181204,바디케어,입욕제,688
339,20181205,바디케어,입욕제,769
340,20181206,바디케어,입욕제,637
341,20181207,바디케어,입욕제,541
342,20181208,바디케어,입욕제,413
343,20181209,바디케어,입욕제,556
344,20181210,바디케어,입욕제,796
345,20181211,바디케어,입욕제,776
346,20181212,바디케어,입욕제,856
347,20181213,바디케어,입욕제,786
348,20181214,바디케어,입욕제,586
349,20181215,바디케어,입욕제,482
350,20181216,바디케어,입욕제,604
351,20181217,바디케어,입욕제,875
352,20181218,바디케어,입욕제,1021
353,20181219,바디케어,입욕제,1010
354,20181220,바디케어,입욕제,667
355,20181221,바디케어,입욕제,767
356,20181222,바디케어,입욕제,430
357,20181223,바디케어,입욕제,487
358,20181224,바디케어,입욕제,508
359,20181225,바디케어,입욕제,668
360,20181226,바디케어,입욕제,750
361,20181227,바디케어,입욕제,639
362,20181228,바디케어,입욕제,629
363,20181229,바디케어,입욕제,456
364,20181230,바디케어,입욕제,621
365,20181231,바디케어,입욕제,580
