,date,big_cat,sm_cat,sum_qty
1,20180101,뷰티,바디 보습제,508
2,20180102,뷰티,바디 보습제,623
3,20180103,뷰티,바디 보습제,599
4,20180104,뷰티,바디 보습제,547
5,20180105,뷰티,바디 보습제,477
6,20180106,뷰티,바디 보습제,448
7,20180107,뷰티,바디 보습제,502
8,20180108,뷰티,바디 보습제,666
9,20180109,뷰티,바디 보습제,643
10,20180110,뷰티,바디 보습제,672
11,20180111,뷰티,바디 보습제,638
12,20180112,뷰티,바디 보습제,497
13,20180113,뷰티,바디 보습제,390
14,20180114,뷰티,바디 보습제,480
15,20180115,뷰티,바디 보습제,615
16,20180116,뷰티,바디 보습제,588
17,20180117,뷰티,바디 보습제,594
18,20180118,뷰티,바디 보습제,525
19,20180119,뷰티,바디 보습제,408
20,20180120,뷰티,바디 보습제,372
21,20180121,뷰티,바디 보습제,427
22,20180122,뷰티,바디 보습제,612
23,20180123,뷰티,바디 보습제,617
24,20180124,뷰티,바디 보습제,656
25,20180125,뷰티,바디 보습제,616
26,20180126,뷰티,바디 보습제,551
27,20180127,뷰티,바디 보습제,475
28,20180128,뷰티,바디 보습제,510
29,20180129,뷰티,바디 보습제,633
30,20180130,뷰티,바디 보습제,625
31,20180131,뷰티,바디 보습제,678
32,20180201,뷰티,바디 보습제,602
33,20180202,뷰티,바디 보습제,522
34,20180203,뷰티,바디 보습제,371
35,20180204,뷰티,바디 보습제,507
36,20180205,뷰티,바디 보습제,641
37,20180206,뷰티,바디 보습제,675
38,20180207,뷰티,바디 보습제,802
39,20180208,뷰티,바디 보습제,692
40,20180209,뷰티,바디 보습제,482
41,20180210,뷰티,바디 보습제,461
42,20180211,뷰티,바디 보습제,449
43,20180212,뷰티,바디 보습제,498
44,20180213,뷰티,바디 보습제,395
45,20180214,뷰티,바디 보습제,282
46,20180215,뷰티,바디 보습제,265
47,20180216,뷰티,바디 보습제,262
48,20180217,뷰티,바디 보습제,349
49,20180218,뷰티,바디 보습제,618
50,20180219,뷰티,바디 보습제,756
51,20180220,뷰티,바디 보습제,661
52,20180221,뷰티,바디 보습제,635
53,20180222,뷰티,바디 보습제,627
54,20180223,뷰티,바디 보습제,498
55,20180224,뷰티,바디 보습제,458
56,20180225,뷰티,바디 보습제,511
57,20180226,뷰티,바디 보습제,776
58,20180227,뷰티,바디 보습제,591
59,20180228,뷰티,바디 보습제,539
60,20180301,뷰티,바디 보습제,589
61,20180302,뷰티,바디 보습제,476
62,20180303,뷰티,바디 보습제,375
63,20180304,뷰티,바디 보습제,510
64,20180305,뷰티,바디 보습제,623
65,20180306,뷰티,바디 보습제,630
66,20180307,뷰티,바디 보습제,556
67,20180308,뷰티,바디 보습제,437
68,20180309,뷰티,바디 보습제,416
69,20180310,뷰티,바디 보습제,338
70,20180311,뷰티,바디 보습제,406
71,20180312,뷰티,바디 보습제,691
72,20180313,뷰티,바디 보습제,491
73,20180314,뷰티,바디 보습제,430
74,20180315,뷰티,바디 보습제,430
75,20180316,뷰티,바디 보습제,335
76,20180317,뷰티,바디 보습제,274
77,20180318,뷰티,바디 보습제,355
78,20180319,뷰티,바디 보습제,436
79,20180320,뷰티,바디 보습제,423
80,20180321,뷰티,바디 보습제,539
81,20180322,뷰티,바디 보습제,441
82,20180323,뷰티,바디 보습제,354
83,20180324,뷰티,바디 보습제,280
84,20180325,뷰티,바디 보습제,411
85,20180326,뷰티,바디 보습제,492
86,20180327,뷰티,바디 보습제,432
87,20180328,뷰티,바디 보습제,410
88,20180329,뷰티,바디 보습제,362
89,20180330,뷰티,바디 보습제,316
90,20180331,뷰티,바디 보습제,275
91,20180401,뷰티,바디 보습제,467
92,20180402,뷰티,바디 보습제,472
93,20180403,뷰티,바디 보습제,417
94,20180404,뷰티,바디 보습제,438
95,20180405,뷰티,바디 보습제,438
96,20180406,뷰티,바디 보습제,331
97,20180407,뷰티,바디 보습제,373
98,20180408,뷰티,바디 보습제,437
99,20180409,뷰티,바디 보습제,499
100,20180410,뷰티,바디 보습제,533
101,20180411,뷰티,바디 보습제,499
102,20180412,뷰티,바디 보습제,498
103,20180413,뷰티,바디 보습제,418
104,20180414,뷰티,바디 보습제,321
105,20180415,뷰티,바디 보습제,536
106,20180416,뷰티,바디 보습제,572
107,20180417,뷰티,바디 보습제,500
108,20180418,뷰티,바디 보습제,468
109,20180419,뷰티,바디 보습제,484
110,20180420,뷰티,바디 보습제,413
111,20180421,뷰티,바디 보습제,269
112,20180422,뷰티,바디 보습제,385
113,20180423,뷰티,바디 보습제,477
114,20180424,뷰티,바디 보습제,401
115,20180425,뷰티,바디 보습제,455
116,20180426,뷰티,바디 보습제,425
117,20180427,뷰티,바디 보습제,324
118,20180428,뷰티,바디 보습제,291
119,20180429,뷰티,바디 보습제,308
120,20180430,뷰티,바디 보습제,413
121,20180501,뷰티,바디 보습제,334
122,20180502,뷰티,바디 보습제,331
123,20180503,뷰티,바디 보습제,358
124,20180504,뷰티,바디 보습제,291
125,20180505,뷰티,바디 보습제,264
126,20180506,뷰티,바디 보습제,213
127,20180507,뷰티,바디 보습제,280
128,20180508,뷰티,바디 보습제,271
129,20180509,뷰티,바디 보습제,344
130,20180510,뷰티,바디 보습제,375
131,20180511,뷰티,바디 보습제,380
132,20180512,뷰티,바디 보습제,353
133,20180513,뷰티,바디 보습제,274
134,20180514,뷰티,바디 보습제,244
135,20180515,뷰티,바디 보습제,363
136,20180516,뷰티,바디 보습제,462
137,20180517,뷰티,바디 보습제,350
138,20180518,뷰티,바디 보습제,306
139,20180519,뷰티,바디 보습제,311
140,20180520,뷰티,바디 보습제,304
141,20180521,뷰티,바디 보습제,200
142,20180522,뷰티,바디 보습제,288
143,20180523,뷰티,바디 보습제,297
144,20180524,뷰티,바디 보습제,249
145,20180525,뷰티,바디 보습제,321
146,20180526,뷰티,바디 보습제,246
147,20180527,뷰티,바디 보습제,243
148,20180528,뷰티,바디 보습제,175
149,20180529,뷰티,바디 보습제,176
150,20180530,뷰티,바디 보습제,240
151,20180531,뷰티,바디 보습제,281
152,20180601,뷰티,바디 보습제,447
153,20180602,뷰티,바디 보습제,331
154,20180603,뷰티,바디 보습제,387
155,20180604,뷰티,바디 보습제,528
156,20180605,뷰티,바디 보습제,374
157,20180606,뷰티,바디 보습제,354
158,20180607,뷰티,바디 보습제,384
159,20180608,뷰티,바디 보습제,361
160,20180609,뷰티,바디 보습제,276
161,20180610,뷰티,바디 보습제,368
162,20180611,뷰티,바디 보습제,500
163,20180612,뷰티,바디 보습제,418
164,20180613,뷰티,바디 보습제,340
165,20180614,뷰티,바디 보습제,397
166,20180615,뷰티,바디 보습제,404
167,20180616,뷰티,바디 보습제,290
168,20180617,뷰티,바디 보습제,399
169,20180618,뷰티,바디 보습제,451
170,20180619,뷰티,바디 보습제,407
171,20180620,뷰티,바디 보습제,434
172,20180621,뷰티,바디 보습제,399
173,20180622,뷰티,바디 보습제,303
174,20180623,뷰티,바디 보습제,252
175,20180624,뷰티,바디 보습제,350
176,20180625,뷰티,바디 보습제,575
177,20180626,뷰티,바디 보습제,440
178,20180627,뷰티,바디 보습제,397
179,20180628,뷰티,바디 보습제,327
180,20180629,뷰티,바디 보습제,274
181,20180630,뷰티,바디 보습제,274
182,20180701,뷰티,바디 보습제,324
183,20180702,뷰티,바디 보습제,456
184,20180703,뷰티,바디 보습제,418
185,20180704,뷰티,바디 보습제,374
186,20180705,뷰티,바디 보습제,320
187,20180706,뷰티,바디 보습제,287
188,20180707,뷰티,바디 보습제,203
189,20180708,뷰티,바디 보습제,355
190,20180709,뷰티,바디 보습제,497
191,20180710,뷰티,바디 보습제,434
192,20180711,뷰티,바디 보습제,455
193,20180712,뷰티,바디 보습제,439
194,20180713,뷰티,바디 보습제,304
195,20180714,뷰티,바디 보습제,255
196,20180715,뷰티,바디 보습제,308
197,20180716,뷰티,바디 보습제,394
198,20180717,뷰티,바디 보습제,333
199,20180718,뷰티,바디 보습제,319
200,20180719,뷰티,바디 보습제,291
201,20180720,뷰티,바디 보습제,271
202,20180721,뷰티,바디 보습제,215
203,20180722,뷰티,바디 보습제,284
204,20180723,뷰티,바디 보습제,326
205,20180724,뷰티,바디 보습제,358
206,20180725,뷰티,바디 보습제,300
207,20180726,뷰티,바디 보습제,370
208,20180727,뷰티,바디 보습제,327
209,20180728,뷰티,바디 보습제,249
210,20180729,뷰티,바디 보습제,259
211,20180730,뷰티,바디 보습제,273
212,20180731,뷰티,바디 보습제,257
213,20180801,뷰티,바디 보습제,275
214,20180802,뷰티,바디 보습제,316
215,20180803,뷰티,바디 보습제,258
216,20180804,뷰티,바디 보습제,212
217,20180805,뷰티,바디 보습제,349
218,20180806,뷰티,바디 보습제,368
219,20180807,뷰티,바디 보습제,338
220,20180808,뷰티,바디 보습제,359
221,20180809,뷰티,바디 보습제,286
222,20180810,뷰티,바디 보습제,301
223,20180811,뷰티,바디 보습제,265
224,20180812,뷰티,바디 보습제,312
225,20180813,뷰티,바디 보습제,393
226,20180814,뷰티,바디 보습제,326
227,20180815,뷰티,바디 보습제,359
228,20180816,뷰티,바디 보습제,382
229,20180817,뷰티,바디 보습제,264
230,20180818,뷰티,바디 보습제,249
231,20180819,뷰티,바디 보습제,282
232,20180820,뷰티,바디 보습제,395
233,20180821,뷰티,바디 보습제,340
234,20180822,뷰티,바디 보습제,309
235,20180823,뷰티,바디 보습제,412
236,20180824,뷰티,바디 보습제,289
237,20180825,뷰티,바디 보습제,242
238,20180826,뷰티,바디 보습제,358
239,20180827,뷰티,바디 보습제,374
240,20180828,뷰티,바디 보습제,354
241,20180829,뷰티,바디 보습제,350
242,20180830,뷰티,바디 보습제,308
243,20180831,뷰티,바디 보습제,329
244,20180901,뷰티,바디 보습제,216
245,20180902,뷰티,바디 보습제,354
246,20180903,뷰티,바디 보습제,386
247,20180904,뷰티,바디 보습제,327
248,20180905,뷰티,바디 보습제,392
249,20180906,뷰티,바디 보습제,382
250,20180907,뷰티,바디 보습제,293
251,20180908,뷰티,바디 보습제,222
252,20180909,뷰티,바디 보습제,433
253,20180910,뷰티,바디 보습제,558
254,20180911,뷰티,바디 보습제,497
255,20180912,뷰티,바디 보습제,554
256,20180913,뷰티,바디 보습제,401
257,20180914,뷰티,바디 보습제,465
258,20180915,뷰티,바디 보습제,293
259,20180916,뷰티,바디 보습제,346
260,20180917,뷰티,바디 보습제,457
261,20180918,뷰티,바디 보습제,416
262,20180919,뷰티,바디 보습제,380
263,20180920,뷰티,바디 보습제,410
264,20180921,뷰티,바디 보습제,229
265,20180922,뷰티,바디 보습제,202
266,20180923,뷰티,바디 보습제,162
267,20180924,뷰티,바디 보습제,192
268,20180925,뷰티,바디 보습제,391
269,20180926,뷰티,바디 보습제,567
270,20180927,뷰티,바디 보습제,641
271,20180928,뷰티,바디 보습제,503
272,20180929,뷰티,바디 보습제,400
273,20180930,뷰티,바디 보습제,454
274,20181001,뷰티,바디 보습제,553
275,20181002,뷰티,바디 보습제,485
276,20181003,뷰티,바디 보습제,533
277,20181004,뷰티,바디 보습제,491
278,20181005,뷰티,바디 보습제,474
279,20181006,뷰티,바디 보습제,318
280,20181007,뷰티,바디 보습제,404
281,20181008,뷰티,바디 보습제,473
282,20181009,뷰티,바디 보습제,418
283,20181010,뷰티,바디 보습제,639
284,20181011,뷰티,바디 보습제,567
285,20181012,뷰티,바디 보습제,490
286,20181013,뷰티,바디 보습제,420
287,20181014,뷰티,바디 보습제,458
288,20181015,뷰티,바디 보습제,743
289,20181016,뷰티,바디 보습제,541
290,20181017,뷰티,바디 보습제,501
291,20181018,뷰티,바디 보습제,416
292,20181019,뷰티,바디 보습제,446
293,20181020,뷰티,바디 보습제,350
294,20181021,뷰티,바디 보습제,457
295,20181022,뷰티,바디 보습제,852
296,20181023,뷰티,바디 보습제,527
297,20181024,뷰티,바디 보습제,495
298,20181025,뷰티,바디 보습제,498
299,20181026,뷰티,바디 보습제,442
300,20181027,뷰티,바디 보습제,367
301,20181028,뷰티,바디 보습제,462
302,20181029,뷰티,바디 보습제,514
303,20181030,뷰티,바디 보습제,547
304,20181031,뷰티,바디 보습제,602
305,20181101,뷰티,바디 보습제,639
306,20181102,뷰티,바디 보습제,748
307,20181103,뷰티,바디 보습제,507
308,20181104,뷰티,바디 보습제,535
309,20181105,뷰티,바디 보습제,660
310,20181106,뷰티,바디 보습제,616
311,20181107,뷰티,바디 보습제,601
312,20181108,뷰티,바디 보습제,499
313,20181109,뷰티,바디 보습제,380
314,20181110,뷰티,바디 보습제,409
315,20181111,뷰티,바디 보습제,595
316,20181112,뷰티,바디 보습제,597
