,date,big_cat,sm_cat,sum_qty
1,20180101,채소,파/양파,576
2,20180102,채소,파/양파,743
3,20180103,채소,파/양파,721
4,20180104,채소,파/양파,725
5,20180105,채소,파/양파,608
6,20180106,채소,파/양파,489
7,20180107,채소,파/양파,568
8,20180108,채소,파/양파,850
9,20180109,채소,파/양파,683
10,20180110,채소,파/양파,711
11,20180111,채소,파/양파,787
12,20180112,채소,파/양파,733
13,20180113,채소,파/양파,455
14,20180114,채소,파/양파,500
15,20180115,채소,파/양파,737
16,20180116,채소,파/양파,680
17,20180117,채소,파/양파,656
18,20180118,채소,파/양파,627
19,20180119,채소,파/양파,664
20,20180120,채소,파/양파,480
21,20180121,채소,파/양파,623
22,20180122,채소,파/양파,808
23,20180123,채소,파/양파,776
24,20180124,채소,파/양파,801
25,20180125,채소,파/양파,727
26,20180126,채소,파/양파,759
27,20180127,채소,파/양파,544
28,20180128,채소,파/양파,633
29,20180129,채소,파/양파,881
30,20180130,채소,파/양파,803
31,20180131,채소,파/양파,738
32,20180201,채소,파/양파,703
33,20180202,채소,파/양파,629
34,20180203,채소,파/양파,485
35,20180204,채소,파/양파,632
36,20180205,채소,파/양파,788
37,20180206,채소,파/양파,723
38,20180207,채소,파/양파,643
39,20180208,채소,파/양파,618
40,20180209,채소,파/양파,585
41,20180210,채소,파/양파,443
42,20180211,채소,파/양파,528
43,20180212,채소,파/양파,714
44,20180213,채소,파/양파,575
45,20180214,채소,파/양파,390
46,20180215,채소,파/양파,212
47,20180216,채소,파/양파,189
48,20180217,채소,파/양파,341
49,20180218,채소,파/양파,524
50,20180219,채소,파/양파,707
51,20180220,채소,파/양파,656
52,20180221,채소,파/양파,734
53,20180222,채소,파/양파,663
54,20180223,채소,파/양파,605
55,20180224,채소,파/양파,476
56,20180225,채소,파/양파,564
57,20180226,채소,파/양파,762
58,20180227,채소,파/양파,703
59,20180228,채소,파/양파,740
60,20180301,채소,파/양파,860
61,20180302,채소,파/양파,662
62,20180303,채소,파/양파,527
