,date,big_cat,sm_cat,sum_qty
1,20180101,클렌징,클렌징 폼,667
2,20180102,클렌징,클렌징 폼,1053
3,20180103,클렌징,클렌징 폼,990
4,20180104,클렌징,클렌징 폼,824
5,20180105,클렌징,클렌징 폼,621
6,20180106,클렌징,클렌징 폼,504
7,20180107,클렌징,클렌징 폼,685
8,20180108,클렌징,클렌징 폼,1015
9,20180109,클렌징,클렌징 폼,1003
10,20180110,클렌징,클렌징 폼,799
11,20180111,클렌징,클렌징 폼,901
12,20180112,클렌징,클렌징 폼,718
13,20180113,클렌징,클렌징 폼,679
14,20180114,클렌징,클렌징 폼,655
15,20180115,클렌징,클렌징 폼,860
16,20180116,클렌징,클렌징 폼,800
17,20180117,클렌징,클렌징 폼,990
18,20180118,클렌징,클렌징 폼,693
19,20180119,클렌징,클렌징 폼,705
20,20180120,클렌징,클렌징 폼,515
21,20180121,클렌징,클렌징 폼,596
22,20180122,클렌징,클렌징 폼,817
23,20180123,클렌징,클렌징 폼,750
24,20180124,클렌징,클렌징 폼,682
25,20180125,클렌징,클렌징 폼,690
26,20180126,클렌징,클렌징 폼,685
27,20180127,클렌징,클렌징 폼,546
28,20180128,클렌징,클렌징 폼,716
29,20180129,클렌징,클렌징 폼,907
30,20180130,클렌징,클렌징 폼,835
31,20180131,클렌징,클렌징 폼,961
32,20180201,클렌징,클렌징 폼,1181
33,20180202,클렌징,클렌징 폼,801
34,20180203,클렌징,클렌징 폼,600
35,20180204,클렌징,클렌징 폼,794
36,20180205,클렌징,클렌징 폼,1077
37,20180206,클렌징,클렌징 폼,855
38,20180207,클렌징,클렌징 폼,1087
39,20180208,클렌징,클렌징 폼,971
40,20180209,클렌징,클렌징 폼,764
41,20180210,클렌징,클렌징 폼,790
42,20180211,클렌징,클렌징 폼,630
43,20180212,클렌징,클렌징 폼,686
44,20180213,클렌징,클렌징 폼,475
45,20180214,클렌징,클렌징 폼,898
46,20180215,클렌징,클렌징 폼,318
47,20180216,클렌징,클렌징 폼,321
48,20180217,클렌징,클렌징 폼,516
49,20180218,클렌징,클렌징 폼,754
50,20180219,클렌징,클렌징 폼,1154
51,20180220,클렌징,클렌징 폼,968
52,20180221,클렌징,클렌징 폼,910
53,20180222,클렌징,클렌징 폼,1040
54,20180223,클렌징,클렌징 폼,1191
55,20180224,클렌징,클렌징 폼,699
56,20180225,클렌징,클렌징 폼,746
57,20180226,클렌징,클렌징 폼,1093
58,20180227,클렌징,클렌징 폼,798
59,20180228,클렌징,클렌징 폼,862
60,20180301,클렌징,클렌징 폼,1142
61,20180302,클렌징,클렌징 폼,882
62,20180303,클렌징,클렌징 폼,608
63,20180304,클렌징,클렌징 폼,705
64,20180305,클렌징,클렌징 폼,1027
65,20180306,클렌징,클렌징 폼,798
66,20180307,클렌징,클렌징 폼,909
67,20180308,클렌징,클렌징 폼,979
68,20180309,클렌징,클렌징 폼,764
69,20180310,클렌징,클렌징 폼,552
70,20180311,클렌징,클렌징 폼,742
71,20180312,클렌징,클렌징 폼,863
72,20180313,클렌징,클렌징 폼,761
73,20180314,클렌징,클렌징 폼,718
