,date,big_cat,sm_cat,sum_qty
1,20180101,음료,커피음료,2233
2,20180102,음료,커피음료,2523
3,20180103,음료,커피음료,2456
4,20180104,음료,커피음료,2370
5,20180105,음료,커피음료,2722
6,20180106,음료,커피음료,1817
7,20180107,음료,커피음료,1559
8,20180108,음료,커피음료,2516
9,20180109,음료,커피음료,2388
10,20180110,음료,커피음료,2368
11,20180111,음료,커피음료,2443
12,20180112,음료,커피음료,2381
13,20180113,음료,커피음료,1549
14,20180114,음료,커피음료,1495
15,20180115,음료,커피음료,2306
16,20180116,음료,커피음료,2217
17,20180117,음료,커피음료,2302
18,20180118,음료,커피음료,2354
19,20180119,음료,커피음료,2270
20,20180120,음료,커피음료,1643
21,20180121,음료,커피음료,1456
22,20180122,음료,커피음료,2195
23,20180123,음료,커피음료,2365
24,20180124,음료,커피음료,2350
25,20180125,음료,커피음료,2267
26,20180126,음료,커피음료,2240
27,20180127,음료,커피음료,1497
28,20180128,음료,커피음료,1458
29,20180129,음료,커피음료,2284
30,20180130,음료,커피음료,2219
31,20180131,음료,커피음료,2296
32,20180201,음료,커피음료,2424
33,20180202,음료,커피음료,2213
34,20180203,음료,커피음료,1518
35,20180204,음료,커피음료,1505
36,20180205,음료,커피음료,2357
37,20180206,음료,커피음료,2364
38,20180207,음료,커피음료,2342
39,20180208,음료,커피음료,2227
40,20180209,음료,커피음료,2349
41,20180210,음료,커피음료,1614
42,20180211,음료,커피음료,1399
43,20180212,음료,커피음료,2247
44,20180213,음료,커피음료,2220
45,20180214,음료,커피음료,3402
46,20180215,음료,커피음료,1449
47,20180216,음료,커피음료,1322
48,20180217,음료,커피음료,1199
49,20180218,음료,커피음료,1506
50,20180219,음료,커피음료,2521
51,20180220,음료,커피음료,2349
52,20180221,음료,커피음료,2678
53,20180222,음료,커피음료,2416
54,20180223,음료,커피음료,2472
55,20180224,음료,커피음료,1627
56,20180225,음료,커피음료,1576
57,20180226,음료,커피음료,2334
58,20180227,음료,커피음료,2261
59,20180228,음료,커피음료,2506
60,20180301,음료,커피음료,1813
61,20180302,음료,커피음료,2376
62,20180303,음료,커피음료,1662
63,20180304,음료,커피음료,1531
64,20180305,음료,커피음료,2425
65,20180306,음료,커피음료,2560
66,20180307,음료,커피음료,2273
67,20180308,음료,커피음료,2217
68,20180309,음료,커피음료,2319
69,20180310,음료,커피음료,1620
70,20180311,음료,커피음료,1661
71,20180312,음료,커피음료,2304
72,20180313,음료,커피음료,2367
73,20180314,음료,커피음료,3701
74,20180315,음료,커피음료,2497
