,date,big_cat,sm_cat,sum_qty
1,20180101,뷰티,기능성 아이케어 화장품,364
2,20180102,뷰티,기능성 아이케어 화장품,324
3,20180103,뷰티,기능성 아이케어 화장품,415
4,20180104,뷰티,기능성 아이케어 화장품,657
5,20180105,뷰티,기능성 아이케어 화장품,643
6,20180106,뷰티,기능성 아이케어 화장품,450
7,20180107,뷰티,기능성 아이케어 화장품,600
8,20180108,뷰티,기능성 아이케어 화장품,456
9,20180109,뷰티,기능성 아이케어 화장품,368
10,20180110,뷰티,기능성 아이케어 화장품,520
11,20180111,뷰티,기능성 아이케어 화장품,546
12,20180112,뷰티,기능성 아이케어 화장품,459
13,20180113,뷰티,기능성 아이케어 화장품,518
14,20180114,뷰티,기능성 아이케어 화장품,516
15,20180115,뷰티,기능성 아이케어 화장품,445
16,20180116,뷰티,기능성 아이케어 화장품,372
17,20180117,뷰티,기능성 아이케어 화장품,465
18,20180118,뷰티,기능성 아이케어 화장품,426
19,20180119,뷰티,기능성 아이케어 화장품,336
20,20180120,뷰티,기능성 아이케어 화장품,237
21,20180121,뷰티,기능성 아이케어 화장품,281
22,20180122,뷰티,기능성 아이케어 화장품,661
23,20180123,뷰티,기능성 아이케어 화장품,533
24,20180124,뷰티,기능성 아이케어 화장품,669
25,20180125,뷰티,기능성 아이케어 화장품,400
26,20180126,뷰티,기능성 아이케어 화장품,326
27,20180127,뷰티,기능성 아이케어 화장품,484
28,20180128,뷰티,기능성 아이케어 화장품,286
29,20180129,뷰티,기능성 아이케어 화장품,775
30,20180130,뷰티,기능성 아이케어 화장품,335
31,20180131,뷰티,기능성 아이케어 화장품,310
32,20180201,뷰티,기능성 아이케어 화장품,674
33,20180202,뷰티,기능성 아이케어 화장품,559
34,20180203,뷰티,기능성 아이케어 화장품,497
35,20180204,뷰티,기능성 아이케어 화장품,306
36,20180205,뷰티,기능성 아이케어 화장품,373
37,20180206,뷰티,기능성 아이케어 화장품,406
38,20180207,뷰티,기능성 아이케어 화장품,886
39,20180208,뷰티,기능성 아이케어 화장품,608
40,20180209,뷰티,기능성 아이케어 화장품,704
41,20180210,뷰티,기능성 아이케어 화장품,403
42,20180211,뷰티,기능성 아이케어 화장품,900
43,20180212,뷰티,기능성 아이케어 화장품,803
