,date,big_cat,sm_cat,sum_qty
1,20180101,뷰티,색조 메이크업 립밤,218
2,20180102,뷰티,색조 메이크업 립밤,262
3,20180103,뷰티,색조 메이크업 립밤,230
4,20180104,뷰티,색조 메이크업 립밤,231
5,20180105,뷰티,색조 메이크업 립밤,193
6,20180106,뷰티,색조 메이크업 립밤,197
7,20180107,뷰티,색조 메이크업 립밤,155
8,20180108,뷰티,색조 메이크업 립밤,266
9,20180109,뷰티,색조 메이크업 립밤,248
10,20180110,뷰티,색조 메이크업 립밤,243
11,20180111,뷰티,색조 메이크업 립밤,261
12,20180112,뷰티,색조 메이크업 립밤,375
13,20180113,뷰티,색조 메이크업 립밤,196
14,20180114,뷰티,색조 메이크업 립밤,182
15,20180115,뷰티,색조 메이크업 립밤,277
16,20180116,뷰티,색조 메이크업 립밤,219
17,20180117,뷰티,색조 메이크업 립밤,178
18,20180118,뷰티,색조 메이크업 립밤,183
19,20180119,뷰티,색조 메이크업 립밤,148
20,20180120,뷰티,색조 메이크업 립밤,130
21,20180121,뷰티,색조 메이크업 립밤,167
22,20180122,뷰티,색조 메이크업 립밤,238
23,20180123,뷰티,색조 메이크업 립밤,204
24,20180124,뷰티,색조 메이크업 립밤,201
25,20180125,뷰티,색조 메이크업 립밤,187
26,20180126,뷰티,색조 메이크업 립밤,196
27,20180127,뷰티,색조 메이크업 립밤,155
28,20180128,뷰티,색조 메이크업 립밤,183
29,20180129,뷰티,색조 메이크업 립밤,302
30,20180130,뷰티,색조 메이크업 립밤,239
31,20180131,뷰티,색조 메이크업 립밤,293
32,20180201,뷰티,색조 메이크업 립밤,215
33,20180202,뷰티,색조 메이크업 립밤,185
34,20180203,뷰티,색조 메이크업 립밤,148
35,20180204,뷰티,색조 메이크업 립밤,173
36,20180205,뷰티,색조 메이크업 립밤,275
37,20180206,뷰티,색조 메이크업 립밤,243
38,20180207,뷰티,색조 메이크업 립밤,292
39,20180208,뷰티,색조 메이크업 립밤,254
40,20180209,뷰티,색조 메이크업 립밤,223
41,20180210,뷰티,색조 메이크업 립밤,166
42,20180211,뷰티,색조 메이크업 립밤,157
43,20180212,뷰티,색조 메이크업 립밤,198
44,20180213,뷰티,색조 메이크업 립밤,171
45,20180214,뷰티,색조 메이크업 립밤,154
46,20180215,뷰티,색조 메이크업 립밤,117
47,20180216,뷰티,색조 메이크업 립밤,112
48,20180217,뷰티,색조 메이크업 립밤,154
