,date,big_cat,sm_cat,sum_qty
1,20180101,뷰티,네일케어,24
2,20180102,뷰티,네일케어,43
3,20180103,뷰티,네일케어,36
4,20180104,뷰티,네일케어,23
5,20180105,뷰티,네일케어,33
6,20180106,뷰티,네일케어,20
7,20180107,뷰티,네일케어,30
8,20180108,뷰티,네일케어,27
9,20180109,뷰티,네일케어,18
10,20180110,뷰티,네일케어,28
11,20180111,뷰티,네일케어,34
12,20180112,뷰티,네일케어,28
13,20180113,뷰티,네일케어,25
14,20180114,뷰티,네일케어,25
15,20180115,뷰티,네일케어,15
16,20180116,뷰티,네일케어,34
17,20180117,뷰티,네일케어,23
18,20180118,뷰티,네일케어,20
19,20180119,뷰티,네일케어,24
20,20180120,뷰티,네일케어,20
21,20180121,뷰티,네일케어,30
22,20180122,뷰티,네일케어,24
23,20180123,뷰티,네일케어,26
24,20180124,뷰티,네일케어,27
25,20180125,뷰티,네일케어,24
26,20180126,뷰티,네일케어,17
27,20180127,뷰티,네일케어,15
28,20180128,뷰티,네일케어,13
29,20180129,뷰티,네일케어,33
30,20180130,뷰티,네일케어,37
31,20180131,뷰티,네일케어,37
32,20180201,뷰티,네일케어,28
33,20180202,뷰티,네일케어,19
34,20180203,뷰티,네일케어,20
35,20180204,뷰티,네일케어,26
36,20180205,뷰티,네일케어,39
37,20180206,뷰티,네일케어,43
38,20180207,뷰티,네일케어,57
39,20180208,뷰티,네일케어,44
40,20180209,뷰티,네일케어,34
41,20180210,뷰티,네일케어,93
42,20180211,뷰티,네일케어,28
43,20180212,뷰티,네일케어,31
44,20180213,뷰티,네일케어,16
45,20180214,뷰티,네일케어,21
46,20180215,뷰티,네일케어,13
47,20180216,뷰티,네일케어,14
48,20180217,뷰티,네일케어,11
49,20180218,뷰티,네일케어,28
50,20180219,뷰티,네일케어,37
51,20180220,뷰티,네일케어,35
52,20180221,뷰티,네일케어,28
53,20180222,뷰티,네일케어,25
54,20180223,뷰티,네일케어,16
55,20180224,뷰티,네일케어,62
56,20180225,뷰티,네일케어,18
57,20180226,뷰티,네일케어,30
58,20180227,뷰티,네일케어,89
59,20180228,뷰티,네일케어,26
60,20180301,뷰티,네일케어,59
61,20180302,뷰티,네일케어,26
62,20180303,뷰티,네일케어,30
63,20180304,뷰티,네일케어,27
64,20180305,뷰티,네일케어,30
65,20180306,뷰티,네일케어,38
66,20180307,뷰티,네일케어,16
67,20180308,뷰티,네일케어,41
68,20180309,뷰티,네일케어,66
69,20180310,뷰티,네일케어,32
70,20180311,뷰티,네일케어,40
71,20180312,뷰티,네일케어,91
72,20180313,뷰티,네일케어,27
73,20180314,뷰티,네일케어,36
74,20180315,뷰티,네일케어,43
75,20180316,뷰티,네일케어,40
76,20180317,뷰티,네일케어,25
