,date,big_cat,sm_cat,sum_qty
1,20180101,뷰티,베이스 메이크업용 파우더팩트,134
2,20180102,뷰티,베이스 메이크업용 파우더팩트,247
3,20180103,뷰티,베이스 메이크업용 파우더팩트,256
4,20180104,뷰티,베이스 메이크업용 파우더팩트,386
5,20180105,뷰티,베이스 메이크업용 파우더팩트,147
6,20180106,뷰티,베이스 메이크업용 파우더팩트,133
7,20180107,뷰티,베이스 메이크업용 파우더팩트,129
8,20180108,뷰티,베이스 메이크업용 파우더팩트,185
9,20180109,뷰티,베이스 메이크업용 파우더팩트,188
10,20180110,뷰티,베이스 메이크업용 파우더팩트,236
11,20180111,뷰티,베이스 메이크업용 파우더팩트,829
12,20180112,뷰티,베이스 메이크업용 파우더팩트,189
13,20180113,뷰티,베이스 메이크업용 파우더팩트,313
14,20180114,뷰티,베이스 메이크업용 파우더팩트,197
15,20180115,뷰티,베이스 메이크업용 파우더팩트,225
16,20180116,뷰티,베이스 메이크업용 파우더팩트,257
17,20180117,뷰티,베이스 메이크업용 파우더팩트,438
18,20180118,뷰티,베이스 메이크업용 파우더팩트,157
19,20180119,뷰티,베이스 메이크업용 파우더팩트,114
20,20180120,뷰티,베이스 메이크업용 파우더팩트,126
21,20180121,뷰티,베이스 메이크업용 파우더팩트,110
22,20180122,뷰티,베이스 메이크업용 파우더팩트,233
23,20180123,뷰티,베이스 메이크업용 파우더팩트,229
24,20180124,뷰티,베이스 메이크업용 파우더팩트,317
25,20180125,뷰티,베이스 메이크업용 파우더팩트,179
26,20180126,뷰티,베이스 메이크업용 파우더팩트,170
27,20180127,뷰티,베이스 메이크업용 파우더팩트,134
28,20180128,뷰티,베이스 메이크업용 파우더팩트,615
29,20180129,뷰티,베이스 메이크업용 파우더팩트,341
30,20180130,뷰티,베이스 메이크업용 파우더팩트,218
31,20180131,뷰티,베이스 메이크업용 파우더팩트,200
32,20180201,뷰티,베이스 메이크업용 파우더팩트,158
33,20180202,뷰티,베이스 메이크업용 파우더팩트,150
34,20180203,뷰티,베이스 메이크업용 파우더팩트,114
35,20180204,뷰티,베이스 메이크업용 파우더팩트,640
36,20180205,뷰티,베이스 메이크업용 파우더팩트,253
37,20180206,뷰티,베이스 메이크업용 파우더팩트,170
38,20180207,뷰티,베이스 메이크업용 파우더팩트,286
39,20180208,뷰티,베이스 메이크업용 파우더팩트,250
40,20180209,뷰티,베이스 메이크업용 파우더팩트,215
41,20180210,뷰티,베이스 메이크업용 파우더팩트,214
42,20180211,뷰티,베이스 메이크업용 파우더팩트,234
43,20180212,뷰티,베이스 메이크업용 파우더팩트,238
44,20180213,뷰티,베이스 메이크업용 파우더팩트,105
45,20180214,뷰티,베이스 메이크업용 파우더팩트,73
46,20180215,뷰티,베이스 메이크업용 파우더팩트,71
47,20180216,뷰티,베이스 메이크업용 파우더팩트,93
48,20180217,뷰티,베이스 메이크업용 파우더팩트,328
49,20180218,뷰티,베이스 메이크업용 파우더팩트,256
50,20180219,뷰티,베이스 메이크업용 파우더팩트,303
51,20180220,뷰티,베이스 메이크업용 파우더팩트,318
52,20180221,뷰티,베이스 메이크업용 파우더팩트,178
53,20180222,뷰티,베이스 메이크업용 파우더팩트,435
54,20180223,뷰티,베이스 메이크업용 파우더팩트,180
55,20180224,뷰티,베이스 메이크업용 파우더팩트,116
56,20180225,뷰티,베이스 메이크업용 파우더팩트,143
57,20180226,뷰티,베이스 메이크업용 파우더팩트,246
58,20180227,뷰티,베이스 메이크업용 파우더팩트,208
59,20180228,뷰티,베이스 메이크업용 파우더팩트,158
60,20180301,뷰티,베이스 메이크업용 파우더팩트,194
61,20180302,뷰티,베이스 메이크업용 파우더팩트,132
62,20180303,뷰티,베이스 메이크업용 파우더팩트,115
63,20180304,뷰티,베이스 메이크업용 파우더팩트,141
64,20180305,뷰티,베이스 메이크업용 파우더팩트,778
65,20180306,뷰티,베이스 메이크업용 파우더팩트,327
66,20180307,뷰티,베이스 메이크업용 파우더팩트,198
67,20180308,뷰티,베이스 메이크업용 파우더팩트,169
68,20180309,뷰티,베이스 메이크업용 파우더팩트,385
69,20180310,뷰티,베이스 메이크업용 파우더팩트,746
70,20180311,뷰티,베이스 메이크업용 파우더팩트,225
71,20180312,뷰티,베이스 메이크업용 파우더팩트,260
