,date,big_cat,sm_cat,sum_qty
1,20180101,뷰티,기능성 트러블케어 화장품,44
2,20180102,뷰티,기능성 트러블케어 화장품,47
3,20180103,뷰티,기능성 트러블케어 화장품,66
4,20180104,뷰티,기능성 트러블케어 화장품,51
5,20180105,뷰티,기능성 트러블케어 화장품,52
6,20180106,뷰티,기능성 트러블케어 화장품,34
7,20180107,뷰티,기능성 트러블케어 화장품,43
8,20180108,뷰티,기능성 트러블케어 화장품,53
9,20180109,뷰티,기능성 트러블케어 화장품,34
10,20180110,뷰티,기능성 트러블케어 화장품,43
11,20180111,뷰티,기능성 트러블케어 화장품,79
12,20180112,뷰티,기능성 트러블케어 화장품,49
13,20180113,뷰티,기능성 트러블케어 화장품,64
14,20180114,뷰티,기능성 트러블케어 화장품,52
15,20180115,뷰티,기능성 트러블케어 화장품,52
16,20180116,뷰티,기능성 트러블케어 화장품,56
17,20180117,뷰티,기능성 트러블케어 화장품,65
18,20180118,뷰티,기능성 트러블케어 화장품,44
19,20180119,뷰티,기능성 트러블케어 화장품,36
20,20180120,뷰티,기능성 트러블케어 화장품,28
21,20180121,뷰티,기능성 트러블케어 화장품,43
22,20180122,뷰티,기능성 트러블케어 화장품,49
23,20180123,뷰티,기능성 트러블케어 화장품,51
24,20180124,뷰티,기능성 트러블케어 화장품,46
25,20180125,뷰티,기능성 트러블케어 화장품,36
26,20180126,뷰티,기능성 트러블케어 화장품,80
27,20180127,뷰티,기능성 트러블케어 화장품,46
28,20180128,뷰티,기능성 트러블케어 화장품,60
29,20180129,뷰티,기능성 트러블케어 화장품,59
30,20180130,뷰티,기능성 트러블케어 화장품,59
31,20180131,뷰티,기능성 트러블케어 화장품,64
32,20180201,뷰티,기능성 트러블케어 화장품,51
33,20180202,뷰티,기능성 트러블케어 화장품,31
34,20180203,뷰티,기능성 트러블케어 화장품,42
35,20180204,뷰티,기능성 트러블케어 화장품,35
36,20180205,뷰티,기능성 트러블케어 화장품,40
37,20180206,뷰티,기능성 트러블케어 화장품,52
38,20180207,뷰티,기능성 트러블케어 화장품,77
39,20180208,뷰티,기능성 트러블케어 화장품,57
40,20180209,뷰티,기능성 트러블케어 화장품,62
41,20180210,뷰티,기능성 트러블케어 화장품,90
42,20180211,뷰티,기능성 트러블케어 화장품,35
43,20180212,뷰티,기능성 트러블케어 화장품,44
44,20180213,뷰티,기능성 트러블케어 화장품,26
45,20180214,뷰티,기능성 트러블케어 화장품,19
46,20180215,뷰티,기능성 트러블케어 화장품,24
47,20180216,뷰티,기능성 트러블케어 화장품,28
48,20180217,뷰티,기능성 트러블케어 화장품,42
49,20180218,뷰티,기능성 트러블케어 화장품,71
50,20180219,뷰티,기능성 트러블케어 화장품,96
51,20180220,뷰티,기능성 트러블케어 화장품,80
52,20180221,뷰티,기능성 트러블케어 화장품,65
53,20180222,뷰티,기능성 트러블케어 화장품,53
54,20180223,뷰티,기능성 트러블케어 화장품,61
55,20180224,뷰티,기능성 트러블케어 화장품,48
56,20180225,뷰티,기능성 트러블케어 화장품,56
57,20180226,뷰티,기능성 트러블케어 화장품,64
58,20180227,뷰티,기능성 트러블케어 화장품,57
59,20180228,뷰티,기능성 트러블케어 화장품,66
60,20180301,뷰티,기능성 트러블케어 화장품,54
61,20180302,뷰티,기능성 트러블케어 화장품,44
62,20180303,뷰티,기능성 트러블케어 화장품,37
63,20180304,뷰티,기능성 트러블케어 화장품,46
64,20180305,뷰티,기능성 트러블케어 화장품,46
65,20180306,뷰티,기능성 트러블케어 화장품,54
66,20180307,뷰티,기능성 트러블케어 화장품,63
67,20180308,뷰티,기능성 트러블케어 화장품,41
68,20180309,뷰티,기능성 트러블케어 화장품,26
69,20180310,뷰티,기능성 트러블케어 화장품,38
70,20180311,뷰티,기능성 트러블케어 화장품,44
71,20180312,뷰티,기능성 트러블케어 화장품,52
72,20180313,뷰티,기능성 트러블케어 화장품,42
73,20180314,뷰티,기능성 트러블케어 화장품,73
74,20180315,뷰티,기능성 트러블케어 화장품,65
75,20180316,뷰티,기능성 트러블케어 화장품,33
76,20180317,뷰티,기능성 트러블케어 화장품,37
77,20180318,뷰티,기능성 트러블케어 화장품,44
78,20180319,뷰티,기능성 트러블케어 화장품,49
79,20180320,뷰티,기능성 트러블케어 화장품,49
80,20180321,뷰티,기능성 트러블케어 화장품,49
81,20180322,뷰티,기능성 트러블케어 화장품,29
82,20180323,뷰티,기능성 트러블케어 화장품,34
83,20180324,뷰티,기능성 트러블케어 화장품,40
84,20180325,뷰티,기능성 트러블케어 화장품,46
85,20180326,뷰티,기능성 트러블케어 화장품,46
86,20180327,뷰티,기능성 트러블케어 화장품,45
87,20180328,뷰티,기능성 트러블케어 화장품,30
88,20180329,뷰티,기능성 트러블케어 화장품,35
89,20180330,뷰티,기능성 트러블케어 화장품,35
90,20180331,뷰티,기능성 트러블케어 화장품,26
91,20180401,뷰티,기능성 트러블케어 화장품,99
92,20180402,뷰티,기능성 트러블케어 화장품,53
93,20180403,뷰티,기능성 트러블케어 화장품,56
94,20180404,뷰티,기능성 트러블케어 화장품,40
95,20180405,뷰티,기능성 트러블케어 화장품,38
96,20180406,뷰티,기능성 트러블케어 화장품,35
97,20180407,뷰티,기능성 트러블케어 화장품,22
98,20180408,뷰티,기능성 트러블케어 화장품,41
99,20180409,뷰티,기능성 트러블케어 화장품,41
100,20180410,뷰티,기능성 트러블케어 화장품,32
101,20180411,뷰티,기능성 트러블케어 화장품,44
102,20180412,뷰티,기능성 트러블케어 화장품,77
103,20180413,뷰티,기능성 트러블케어 화장품,63
104,20180414,뷰티,기능성 트러블케어 화장품,65
105,20180415,뷰티,기능성 트러블케어 화장품,37
106,20180416,뷰티,기능성 트러블케어 화장품,80
107,20180417,뷰티,기능성 트러블케어 화장품,47
108,20180418,뷰티,기능성 트러블케어 화장품,131
109,20180419,뷰티,기능성 트러블케어 화장품,59
110,20180420,뷰티,기능성 트러블케어 화장품,64
111,20180421,뷰티,기능성 트러블케어 화장품,76
112,20180422,뷰티,기능성 트러블케어 화장품,130
113,20180423,뷰티,기능성 트러블케어 화장품,55
114,20180424,뷰티,기능성 트러블케어 화장품,48
