,date,big_cat,sm_cat,sum_qty
1,20180101,뷰티,기능성 링클케어 화장품,3
2,20180102,뷰티,기능성 링클케어 화장품,31
3,20180103,뷰티,기능성 링클케어 화장품,11
4,20180104,뷰티,기능성 링클케어 화장품,2
5,20180105,뷰티,기능성 링클케어 화장품,5
6,20180106,뷰티,기능성 링클케어 화장품,2
7,20180107,뷰티,기능성 링클케어 화장품,2
8,20180108,뷰티,기능성 링클케어 화장품,5
9,20180109,뷰티,기능성 링클케어 화장품,2
10,20180110,뷰티,기능성 링클케어 화장품,34
11,20180111,뷰티,기능성 링클케어 화장품,25
12,20180112,뷰티,기능성 링클케어 화장품,15
13,20180113,뷰티,기능성 링클케어 화장품,1
14,20180114,뷰티,기능성 링클케어 화장품,5
15,20180115,뷰티,기능성 링클케어 화장품,10
16,20180116,뷰티,기능성 링클케어 화장품,5
17,20180117,뷰티,기능성 링클케어 화장품,2
18,20180119,뷰티,기능성 링클케어 화장품,1
19,20180120,뷰티,기능성 링클케어 화장품,2
20,20180121,뷰티,기능성 링클케어 화장품,2
21,20180122,뷰티,기능성 링클케어 화장품,40
22,20180123,뷰티,기능성 링클케어 화장품,18
23,20180124,뷰티,기능성 링클케어 화장품,5
24,20180125,뷰티,기능성 링클케어 화장품,3
25,20180126,뷰티,기능성 링클케어 화장품,4
26,20180127,뷰티,기능성 링클케어 화장품,3
27,20180128,뷰티,기능성 링클케어 화장품,15
28,20180129,뷰티,기능성 링클케어 화장품,11
29,20180130,뷰티,기능성 링클케어 화장품,10
30,20180131,뷰티,기능성 링클케어 화장품,4
31,20180201,뷰티,기능성 링클케어 화장품,7
32,20180202,뷰티,기능성 링클케어 화장품,4
33,20180204,뷰티,기능성 링클케어 화장품,13
34,20180205,뷰티,기능성 링클케어 화장품,1
35,20180206,뷰티,기능성 링클케어 화장품,3
36,20180207,뷰티,기능성 링클케어 화장품,7
37,20180208,뷰티,기능성 링클케어 화장품,31
38,20180209,뷰티,기능성 링클케어 화장품,4
39,20180210,뷰티,기능성 링클케어 화장품,2
40,20180211,뷰티,기능성 링클케어 화장품,2
41,20180212,뷰티,기능성 링클케어 화장품,5
42,20180213,뷰티,기능성 링클케어 화장품,2
43,20180214,뷰티,기능성 링클케어 화장품,2
44,20180216,뷰티,기능성 링클케어 화장품,2
45,20180217,뷰티,기능성 링클케어 화장품,1
46,20180218,뷰티,기능성 링클케어 화장품,5
47,20180219,뷰티,기능성 링클케어 화장품,13
48,20180220,뷰티,기능성 링클케어 화장품,6
49,20180221,뷰티,기능성 링클케어 화장품,2
50,20180222,뷰티,기능성 링클케어 화장품,13
51,20180223,뷰티,기능성 링클케어 화장품,8
52,20180225,뷰티,기능성 링클케어 화장품,3
53,20180226,뷰티,기능성 링클케어 화장품,5
54,20180227,뷰티,기능성 링클케어 화장품,5
55,20180228,뷰티,기능성 링클케어 화장품,2
56,20180301,뷰티,기능성 링클케어 화장품,4
57,20180302,뷰티,기능성 링클케어 화장품,2
58,20180304,뷰티,기능성 링클케어 화장품,1
59,20180305,뷰티,기능성 링클케어 화장품,35
60,20180306,뷰티,기능성 링클케어 화장품,93
61,20180307,뷰티,기능성 링클케어 화장품,11
62,20180308,뷰티,기능성 링클케어 화장품,5
63,20180309,뷰티,기능성 링클케어 화장품,2
64,20180310,뷰티,기능성 링클케어 화장품,1
65,20180311,뷰티,기능성 링클케어 화장품,5
66,20180312,뷰티,기능성 링클케어 화장품,5
