,date,big_cat,sm_cat,sum_qty
1,20190101,공기청정,공기청정기,254
2,20190102,공기청정,공기청정기,319
3,20190103,공기청정,공기청정기,257
4,20190104,공기청정,공기청정기,235
5,20190105,공기청정,공기청정기,216
6,20190106,공기청정,공기청정기,225
7,20190107,공기청정,공기청정기,342
8,20190108,공기청정,공기청정기,255
9,20190109,공기청정,공기청정기,304
10,20190110,공기청정,공기청정기,351
11,20190111,공기청정,공기청정기,342
12,20190112,공기청정,공기청정기,239
13,20190113,공기청정,공기청정기,473
14,20190114,공기청정,공기청정기,1793
15,20190115,공기청정,공기청정기,1878
16,20190116,공기청정,공기청정기,1346
17,20190117,공기청정,공기청정기,1060
18,20190118,공기청정,공기청정기,1319
19,20190119,공기청정,공기청정기,540
20,20190120,공기청정,공기청정기,587
21,20190121,공기청정,공기청정기,590
22,20190122,공기청정,공기청정기,643
23,20190123,공기청정,공기청정기,522
24,20190124,공기청정,공기청정기,435
25,20190125,공기청정,공기청정기,456
26,20190126,공기청정,공기청정기,328
27,20190127,공기청정,공기청정기,324
28,20190128,공기청정,공기청정기,626
29,20190129,공기청정,공기청정기,453
30,20190130,공기청정,공기청정기,385
31,20190131,공기청정,공기청정기,336
32,20190201,공기청정,공기청정기,248
33,20190202,공기청정,공기청정기,220
34,20190203,공기청정,공기청정기,169
35,20190204,공기청정,공기청정기,309
36,20190205,공기청정,공기청정기,243
37,20190206,공기청정,공기청정기,539
38,20190207,공기청정,공기청정기,574
39,20190208,공기청정,공기청정기,499
40,20190209,공기청정,공기청정기,303
41,20190210,공기청정,공기청정기,312
42,20190211,공기청정,공기청정기,517
43,20190212,공기청정,공기청정기,445
44,20190213,공기청정,공기청정기,478
45,20190214,공기청정,공기청정기,667
46,20190215,공기청정,공기청정기,406
47,20190216,공기청정,공기청정기,277
48,20190217,공기청정,공기청정기,427
49,20190218,공기청정,공기청정기,446
50,20190219,공기청정,공기청정기,490
51,20190220,공기청정,공기청정기,414
52,20190221,공기청정,공기청정기,491
53,20190222,공기청정,공기청정기,478
54,20190223,공기청정,공기청정기,608
55,20190224,공기청정,공기청정기,616
56,20190225,공기청정,공기청정기,766
57,20190226,공기청정,공기청정기,666
58,20190227,공기청정,공기청정기,502
59,20190228,공기청정,공기청정기,956
60,20190301,공기청정,공기청정기,675
61,20190302,공기청정,공기청정기,1372
62,20190303,공기청정,공기청정기,1542
63,20190304,공기청정,공기청정기,2706
64,20190305,공기청정,공기청정기,5764
65,20190306,공기청정,공기청정기,5903
66,20190307,공기청정,공기청정기,3566
67,20190308,공기청정,공기청정기,2710
68,20190309,공기청정,공기청정기,1507
69,20190310,공기청정,공기청정기,2064
70,20190311,공기청정,공기청정기,2114
71,20190312,공기청정,공기청정기,1531
72,20190313,공기청정,공기청정기,1417
73,20190314,공기청정,공기청정기,1106
74,20190315,공기청정,공기청정기,879
75,20190316,공기청정,공기청정기,719
76,20190317,공기청정,공기청정기,1489
77,20190318,공기청정,공기청정기,841
78,20190319,공기청정,공기청정기,901
79,20190320,공기청정,공기청정기,972
80,20190321,공기청정,공기청정기,1371
81,20190322,공기청정,공기청정기,723
82,20190323,공기청정,공기청정기,711
83,20190324,공기청정,공기청정기,417
84,20190325,공기청정,공기청정기,896
85,20190326,공기청정,공기청정기,795
86,20190327,공기청정,공기청정기,846
87,20190328,공기청정,공기청정기,806
88,20190329,공기청정,공기청정기,655
89,20190330,공기청정,공기청정기,787
90,20190331,공기청정,공기청정기,435
91,20190401,공기청정,공기청정기,672
92,20190402,공기청정,공기청정기,651
93,20190403,공기청정,공기청정기,505
94,20190404,공기청정,공기청정기,501
95,20190405,공기청정,공기청정기,526
96,20190406,공기청정,공기청정기,330
97,20190407,공기청정,공기청정기,450
98,20190408,공기청정,공기청정기,861
99,20190409,공기청정,공기청정기,680
100,20190410,공기청정,공기청정기,494
101,20190411,공기청정,공기청정기,524
102,20190412,공기청정,공기청정기,455
103,20190413,공기청정,공기청정기,331
104,20190414,공기청정,공기청정기,268
105,20190415,공기청정,공기청정기,632
106,20190416,공기청정,공기청정기,417
107,20190417,공기청정,공기청정기,430
108,20190418,공기청정,공기청정기,361
109,20190419,공기청정,공기청정기,313
110,20190420,공기청정,공기청정기,409
111,20190421,공기청정,공기청정기,205
112,20190422,공기청정,공기청정기,540
113,20190423,공기청정,공기청정기,411
114,20190424,공기청정,공기청정기,512
115,20190425,공기청정,공기청정기,353
116,20190426,공기청정,공기청정기,310
117,20190427,공기청정,공기청정기,197
118,20190428,공기청정,공기청정기,267
119,20190429,공기청정,공기청정기,420
120,20190430,공기청정,공기청정기,331
121,20190501,공기청정,공기청정기,512
122,20190502,공기청정,공기청정기,507
123,20190503,공기청정,공기청정기,392
124,20190504,공기청정,공기청정기,360
125,20190505,공기청정,공기청정기,434
126,20190506,공기청정,공기청정기,274
127,20190507,공기청정,공기청정기,369
128,20190508,공기청정,공기청정기,827
129,20190509,공기청정,공기청정기,485
130,20190510,공기청정,공기청정기,415
131,20190511,공기청정,공기청정기,397
132,20190512,공기청정,공기청정기,362
133,20190513,공기청정,공기청정기,294
134,20190514,공기청정,공기청정기,205
135,20190515,공기청정,공기청정기,509
136,20190516,공기청정,공기청정기,334
137,20190517,공기청정,공기청정기,344
138,20190518,공기청정,공기청정기,249
139,20190519,공기청정,공기청정기,263
140,20190520,공기청정,공기청정기,335
141,20190521,공기청정,공기청정기,159
142,20190522,공기청정,공기청정기,399
143,20190523,공기청정,공기청정기,286
144,20190524,공기청정,공기청정기,431
145,20190525,공기청정,공기청정기,259
146,20190526,공기청정,공기청정기,246
147,20190527,공기청정,공기청정기,163
148,20190528,공기청정,공기청정기,223
149,20190529,공기청정,공기청정기,350
150,20190530,공기청정,공기청정기,228
151,20190531,공기청정,공기청정기,138
152,20190601,공기청정,공기청정기,181
153,20190602,공기청정,공기청정기,181
154,20190603,공기청정,공기청정기,330
155,20190604,공기청정,공기청정기,310
156,20190605,공기청정,공기청정기,204
157,20190606,공기청정,공기청정기,251
158,20190607,공기청정,공기청정기,212
159,20190608,공기청정,공기청정기,138
160,20190609,공기청정,공기청정기,197
161,20190610,공기청정,공기청정기,226
162,20190611,공기청정,공기청정기,298
163,20190612,공기청정,공기청정기,182
164,20190613,공기청정,공기청정기,236
165,20190614,공기청정,공기청정기,212
166,20190615,공기청정,공기청정기,169
167,20190616,공기청정,공기청정기,124
168,20190617,공기청정,공기청정기,239
169,20190618,공기청정,공기청정기,252
170,20190619,공기청정,공기청정기,291
171,20190620,공기청정,공기청정기,320
172,20190621,공기청정,공기청정기,195
173,20190622,공기청정,공기청정기,167
174,20190623,공기청정,공기청정기,176
175,20190624,공기청정,공기청정기,186
176,20190625,공기청정,공기청정기,207
177,20190626,공기청정,공기청정기,218
178,20190627,공기청정,공기청정기,209
179,20190628,공기청정,공기청정기,119
180,20190629,공기청정,공기청정기,114
181,20190630,공기청정,공기청정기,150
182,20190701,공기청정,공기청정기,285
183,20190702,공기청정,공기청정기,254
184,20190703,공기청정,공기청정기,241
185,20190704,공기청정,공기청정기,234
186,20190705,공기청정,공기청정기,202
187,20190706,공기청정,공기청정기,161
188,20190707,공기청정,공기청정기,202
189,20190708,공기청정,공기청정기,189
190,20190709,공기청정,공기청정기,147
191,20190710,공기청정,공기청정기,168
192,20190711,공기청정,공기청정기,148
193,20190712,공기청정,공기청정기,172
194,20190713,공기청정,공기청정기,92
195,20190714,공기청정,공기청정기,200
196,20190715,공기청정,공기청정기,244
197,20190716,공기청정,공기청정기,170
198,20190717,공기청정,공기청정기,202
199,20190718,공기청정,공기청정기,301
200,20190719,공기청정,공기청정기,167
201,20190720,공기청정,공기청정기,214
202,20190721,공기청정,공기청정기,104
203,20190722,공기청정,공기청정기,226
204,20190723,공기청정,공기청정기,207
205,20190724,공기청정,공기청정기,193
206,20190725,공기청정,공기청정기,162
207,20190726,공기청정,공기청정기,153
208,20190727,공기청정,공기청정기,140
209,20190728,공기청정,공기청정기,92
210,20190729,공기청정,공기청정기,184
211,20190730,공기청정,공기청정기,133
212,20190731,공기청정,공기청정기,138
213,20190801,공기청정,공기청정기,177
214,20190802,공기청정,공기청정기,149
215,20190803,공기청정,공기청정기,99
216,20190804,공기청정,공기청정기,128
217,20190805,공기청정,공기청정기,295
218,20190806,공기청정,공기청정기,186
219,20190807,공기청정,공기청정기,144
220,20190808,공기청정,공기청정기,444
221,20190809,공기청정,공기청정기,138
