,date,big_cat,sm_cat,sum_qty
1,20190101,헤어케어,헤어케어세트,1081
2,20190102,헤어케어,헤어케어세트,803
3,20190103,헤어케어,헤어케어세트,855
4,20190104,헤어케어,헤어케어세트,782
5,20190105,헤어케어,헤어케어세트,802
6,20190106,헤어케어,헤어케어세트,644
7,20190107,헤어케어,헤어케어세트,808
8,20190108,헤어케어,헤어케어세트,732
9,20190109,헤어케어,헤어케어세트,1098
10,20190110,헤어케어,헤어케어세트,781
11,20190111,헤어케어,헤어케어세트,920
12,20190112,헤어케어,헤어케어세트,730
13,20190113,헤어케어,헤어케어세트,733
14,20190114,헤어케어,헤어케어세트,755
15,20190115,헤어케어,헤어케어세트,733
16,20190116,헤어케어,헤어케어세트,1314
17,20190117,헤어케어,헤어케어세트,865
18,20190118,헤어케어,헤어케어세트,871
19,20190119,헤어케어,헤어케어세트,564
20,20190120,헤어케어,헤어케어세트,1231
21,20190121,헤어케어,헤어케어세트,982
22,20190122,헤어케어,헤어케어세트,1041
23,20190123,헤어케어,헤어케어세트,690
24,20190124,헤어케어,헤어케어세트,779
25,20190125,헤어케어,헤어케어세트,686
26,20190126,헤어케어,헤어케어세트,488
27,20190127,헤어케어,헤어케어세트,642
28,20190128,헤어케어,헤어케어세트,1787
29,20190129,헤어케어,헤어케어세트,802
30,20190130,헤어케어,헤어케어세트,830
31,20190131,헤어케어,헤어케어세트,565
32,20190201,헤어케어,헤어케어세트,584
33,20190202,헤어케어,헤어케어세트,378
34,20190203,헤어케어,헤어케어세트,442
35,20190204,헤어케어,헤어케어세트,471
36,20190205,헤어케어,헤어케어세트,632
37,20190206,헤어케어,헤어케어세트,2095
38,20190207,헤어케어,헤어케어세트,1160
39,20190208,헤어케어,헤어케어세트,794
40,20190209,헤어케어,헤어케어세트,694
41,20190210,헤어케어,헤어케어세트,650
42,20190211,헤어케어,헤어케어세트,995
43,20190212,헤어케어,헤어케어세트,885
44,20190213,헤어케어,헤어케어세트,1076
45,20190214,헤어케어,헤어케어세트,888
46,20190215,헤어케어,헤어케어세트,720
47,20190216,헤어케어,헤어케어세트,2005
48,20190217,헤어케어,헤어케어세트,829
49,20190218,헤어케어,헤어케어세트,778
50,20190219,헤어케어,헤어케어세트,793
51,20190220,헤어케어,헤어케어세트,828
52,20190221,헤어케어,헤어케어세트,650
53,20190222,헤어케어,헤어케어세트,624
54,20190223,헤어케어,헤어케어세트,1381
55,20190224,헤어케어,헤어케어세트,641
56,20190225,헤어케어,헤어케어세트,840
57,20190226,헤어케어,헤어케어세트,885
58,20190227,헤어케어,헤어케어세트,773
59,20190228,헤어케어,헤어케어세트,677
60,20190301,헤어케어,헤어케어세트,682
61,20190302,헤어케어,헤어케어세트,667
62,20190303,헤어케어,헤어케어세트,965
63,20190304,헤어케어,헤어케어세트,931
64,20190305,헤어케어,헤어케어세트,930
65,20190306,헤어케어,헤어케어세트,969
66,20190307,헤어케어,헤어케어세트,794
67,20190308,헤어케어,헤어케어세트,921
68,20190309,헤어케어,헤어케어세트,509
69,20190310,헤어케어,헤어케어세트,740
70,20190311,헤어케어,헤어케어세트,1317
71,20190312,헤어케어,헤어케어세트,934
72,20190313,헤어케어,헤어케어세트,792
73,20190314,헤어케어,헤어케어세트,835
74,20190315,헤어케어,헤어케어세트,761
75,20190316,헤어케어,헤어케어세트,525
76,20190317,헤어케어,헤어케어세트,787
77,20190318,헤어케어,헤어케어세트,848
78,20190319,헤어케어,헤어케어세트,735
79,20190320,헤어케어,헤어케어세트,879
80,20190321,헤어케어,헤어케어세트,709
81,20190322,헤어케어,헤어케어세트,928
82,20190323,헤어케어,헤어케어세트,472
83,20190324,헤어케어,헤어케어세트,570
84,20190325,헤어케어,헤어케어세트,860
85,20190326,헤어케어,헤어케어세트,1644
86,20190327,헤어케어,헤어케어세트,709
87,20190328,헤어케어,헤어케어세트,609
88,20190329,헤어케어,헤어케어세트,541
89,20190330,헤어케어,헤어케어세트,530
90,20190331,헤어케어,헤어케어세트,734
91,20190401,헤어케어,헤어케어세트,983
92,20190402,헤어케어,헤어케어세트,911
93,20190403,헤어케어,헤어케어세트,868
94,20190404,헤어케어,헤어케어세트,758
95,20190405,헤어케어,헤어케어세트,844
96,20190406,헤어케어,헤어케어세트,1191
97,20190407,헤어케어,헤어케어세트,738
98,20190408,헤어케어,헤어케어세트,866
99,20190409,헤어케어,헤어케어세트,1800
100,20190410,헤어케어,헤어케어세트,865
