,date,big_cat,sm_cat,sum_qty
1,20190101,난방,카페트매트,585
2,20190102,난방,카페트매트,1043
3,20190103,난방,카페트매트,761
4,20190104,난방,카페트매트,624
5,20190105,난방,카페트매트,365
6,20190106,난방,카페트매트,348
7,20190107,난방,카페트매트,721
8,20190108,난방,카페트매트,580
9,20190109,난방,카페트매트,661
10,20190110,난방,카페트매트,491
11,20190111,난방,카페트매트,448
12,20190112,난방,카페트매트,249
13,20190113,난방,카페트매트,246
14,20190114,난방,카페트매트,539
15,20190115,난방,카페트매트,420
16,20190116,난방,카페트매트,472
17,20190117,난방,카페트매트,453
18,20190118,난방,카페트매트,346
19,20190119,난방,카페트매트,199
20,20190120,난방,카페트매트,245
21,20190121,난방,카페트매트,454
22,20190122,난방,카페트매트,400
23,20190123,난방,카페트매트,349
24,20190124,난방,카페트매트,342
25,20190125,난방,카페트매트,348
26,20190126,난방,카페트매트,208
27,20190127,난방,카페트매트,244
28,20190128,난방,카페트매트,454
29,20190129,난방,카페트매트,339
30,20190130,난방,카페트매트,303
31,20190131,난방,전기장판,323
32,20190201,난방,카페트매트,211
33,20190202,난방,카페트매트,123
34,20190203,난방,카페트매트,99
35,20190204,난방,카페트매트,116
36,20190205,난방,카페트매트,142
37,20190206,난방,카페트매트,241
38,20190207,난방,카페트매트,439
39,20190208,난방,카페트매트,373
40,20190209,난방,카페트매트,175
41,20190210,난방,카페트매트,257
42,20190211,난방,카페트매트,495
43,20190212,난방,카페트매트,384
44,20190213,난방,카페트매트,369
45,20190214,난방,카페트매트,355
46,20190215,난방,카페트매트,324
47,20190216,난방,카페트매트,151
48,20190217,난방,카페트매트,230
49,20190218,난방,카페트매트,376
50,20190219,난방,카페트매트,308
51,20190220,난방,카페트매트,294
52,20190221,난방,카페트매트,264
53,20190222,난방,카페트매트,256
54,20190223,난방,카페트매트,136
55,20190224,난방,카페트매트,174
56,20190225,난방,카페트매트,326
57,20190226,난방,카페트매트,314
58,20190227,난방,카페트매트,275
59,20190228,난방,카페트매트,375
60,20190301,난방,카페트매트,120
61,20190302,난방,카페트매트,155
62,20190303,난방,카페트매트,160
63,20190304,난방,카페트매트,299
64,20190305,난방,카페트매트,252
65,20190306,난방,카페트매트,261
66,20190307,난방,카페트매트,229
67,20190308,난방,전기장판,257
68,20190309,난방,카페트매트,128
69,20190310,난방,카페트매트,149
70,20190311,난방,카페트매트,310
71,20190312,난방,카페트매트,264
72,20190313,난방,카페트매트,223
73,20190314,난방,카페트매트,258
74,20190315,난방,카페트매트,301
75,20190316,난방,카페트매트,148
76,20190317,난방,카페트매트,171
77,20190318,난방,카페트매트,322
78,20190319,난방,카페트매트,240
79,20190320,난방,카페트매트,244
80,20190321,난방,카페트매트,226
81,20190322,난방,카페트매트,219
82,20190323,난방,카페트매트,102
83,20190324,난방,카페트매트,161
84,20190325,난방,카페트매트,307
85,20190326,난방,카페트매트,250
86,20190327,난방,카페트매트,231
87,20190328,난방,전기장판,223
88,20190329,난방,카페트매트,224
89,20190330,난방,카페트매트,106
90,20190331,난방,카페트매트,284
91,20190401,난방,카페트매트,335
92,20190402,난방,카페트매트,255
93,20190403,난방,카페트매트,260
94,20190404,난방,카페트매트,221
95,20190405,난방,카페트매트,243
96,20190406,난방,카페트매트,111
97,20190407,난방,카페트매트,132
98,20190408,난방,카페트매트,270
99,20190409,난방,카페트매트,260
100,20190410,난방,카페트매트,272
101,20190411,난방,카페트매트,206
102,20190412,난방,카페트매트,229
103,20190413,난방,카페트매트,104
104,20190414,난방,카페트매트,172
105,20190415,난방,카페트매트,298
106,20190416,난방,카페트매트,253
107,20190417,난방,카페트매트,202
108,20190418,난방,카페트매트,221
109,20190419,난방,카페트매트,202
110,20190420,난방,카페트매트,91
111,20190421,난방,카페트매트,124
112,20190422,난방,카페트매트,242
113,20190423,난방,카페트매트,226
114,20190424,난방,카페트매트,233
115,20190425,난방,카페트매트,191
116,20190426,난방,카페트매트,219
117,20190427,난방,카페트매트,101
118,20190428,난방,카페트매트,119
119,20190429,난방,카페트매트,256
120,20190430,난방,카페트매트,352
121,20190501,난방,카페트매트,464
122,20190502,난방,카페트매트,329
123,20190503,난방,카페트매트,327
124,20190504,난방,카페트매트,265
125,20190505,난방,카페트매트,317
126,20190506,난방,카페트매트,142
127,20190507,난방,카페트매트,185
128,20190508,난방,카페트매트,380
129,20190509,난방,카페트매트,355
130,20190510,난방,카페트매트,355
131,20190511,난방,카페트매트,286
132,20190512,난방,카페트매트,315
133,20190513,난방,카페트매트,158
134,20190514,난방,카페트매트,212
135,20190515,난방,카페트매트,314
136,20190516,난방,카페트매트,365
137,20190517,난방,카페트매트,207
138,20190518,난방,카페트매트,325
139,20190519,난방,카페트매트,263
140,20190520,난방,카페트매트,124
141,20190521,난방,카페트매트,155
142,20190522,난방,카페트매트,374
