,date,big_cat,sm_cat,sum_qty
1,20190101,습도 조절,초음파식 가습기,458
2,20190102,습도 조절,초음파식 가습기,649
3,20190103,습도 조절,초음파식 가습기,562
4,20190104,습도 조절,초음파식 가습기,442
5,20190105,습도 조절,초음파식 가습기,358
6,20190106,습도 조절,초음파식 가습기,299
7,20190107,습도 조절,초음파식 가습기,528
8,20190108,습도 조절,초음파식 가습기,461
9,20190109,습도 조절,초음파식 가습기,508
10,20190110,습도 조절,초음파식 가습기,459
11,20190111,습도 조절,초음파식 가습기,341
12,20190112,습도 조절,초음파식 가습기,203
13,20190113,습도 조절,초음파식 가습기,267
14,20190114,습도 조절,초음파식 가습기,649
15,20190115,습도 조절,초음파식 가습기,395
16,20190116,습도 조절,초음파식 가습기,432
17,20190117,습도 조절,초음파식 가습기,428
18,20190118,습도 조절,초음파식 가습기,297
19,20190119,습도 조절,초음파식 가습기,231
20,20190120,습도 조절,초음파식 가습기,291
21,20190121,습도 조절,초음파식 가습기,343
22,20190122,습도 조절,초음파식 가습기,371
23,20190123,습도 조절,초음파식 가습기,294
24,20190124,습도 조절,초음파식 가습기,303
25,20190125,습도 조절,초음파식 가습기,215
26,20190126,습도 조절,초음파식 가습기,158
27,20190127,습도 조절,초음파식 가습기,287
28,20190128,습도 조절,초음파식 가습기,339
29,20190129,습도 조절,초음파식 가습기,270
30,20190130,습도 조절,초음파식 가습기,261
31,20190131,습도 조절,초음파식 가습기,202
32,20190201,습도 조절,초음파식 가습기,144
33,20190202,습도 조절,초음파식 가습기,151
34,20190203,습도 조절,초음파식 가습기,96
35,20190204,습도 조절,초음파식 가습기,101
36,20190205,습도 조절,초음파식 가습기,113
37,20190206,습도 조절,초음파식 가습기,200
38,20190207,습도 조절,초음파식 가습기,380
39,20190208,습도 조절,초음파식 가습기,283
40,20190209,습도 조절,초음파식 가습기,197
41,20190210,습도 조절,초음파식 가습기,231
42,20190211,습도 조절,초음파식 가습기,492
43,20190212,습도 조절,초음파식 가습기,365
44,20190213,습도 조절,초음파식 가습기,389
45,20190214,습도 조절,초음파식 가습기,384
46,20190215,습도 조절,초음파식 가습기,249
47,20190216,습도 조절,초음파식 가습기,212
48,20190217,습도 조절,초음파식 가습기,288
49,20190218,습도 조절,초음파식 가습기,392
50,20190219,습도 조절,초음파식 가습기,292
51,20190220,습도 조절,초음파식 가습기,238
52,20190221,습도 조절,초음파식 가습기,274
53,20190222,습도 조절,초음파식 가습기,198
54,20190223,습도 조절,초음파식 가습기,158
55,20190224,습도 조절,초음파식 가습기,186
56,20190225,습도 조절,초음파식 가습기,259
57,20190226,습도 조절,초음파식 가습기,263
58,20190227,습도 조절,초음파식 가습기,251
59,20190228,습도 조절,초음파식 가습기,222
60,20190301,습도 조절,초음파식 가습기,149
61,20190302,습도 조절,초음파식 가습기,171
62,20190303,습도 조절,초음파식 가습기,248
63,20190304,습도 조절,초음파식 가습기,389
64,20190305,습도 조절,초음파식 가습기,323
65,20190306,습도 조절,초음파식 가습기,297
66,20190307,습도 조절,초음파식 가습기,228
67,20190308,습도 조절,초음파식 가습기,199
68,20190309,습도 조절,초음파식 가습기,168
69,20190310,습도 조절,초음파식 가습기,232
70,20190311,습도 조절,초음파식 가습기,314
71,20190312,습도 조절,초음파식 가습기,222
72,20190313,습도 조절,초음파식 가습기,200
73,20190314,습도 조절,초음파식 가습기,185
74,20190315,습도 조절,초음파식 가습기,190
75,20190316,습도 조절,초음파식 가습기,137
76,20190317,습도 조절,초음파식 가습기,182
77,20190318,습도 조절,초음파식 가습기,291
78,20190319,습도 조절,초음파식 가습기,241
79,20190320,습도 조절,초음파식 가습기,206
80,20190321,습도 조절,초음파식 가습기,241
81,20190322,습도 조절,초음파식 가습기,186
82,20190323,습도 조절,초음파식 가습기,98
83,20190324,습도 조절,초음파식 가습기,139
84,20190325,습도 조절,초음파식 가습기,227
85,20190326,습도 조절,초음파식 가습기,187
86,20190327,습도 조절,초음파식 가습기,151
87,20190328,습도 조절,초음파식 가습기,154
88,20190329,습도 조절,초음파식 가습기,177
89,20190330,습도 조절,초음파식 가습기,114
90,20190331,습도 조절,초음파식 가습기,167
91,20190401,습도 조절,초음파식 가습기,263
92,20190402,습도 조절,초음파식 가습기,216
93,20190403,습도 조절,초음파식 가습기,192
94,20190404,습도 조절,초음파식 가습기,171
