,date,big_cat,sm_cat,sum_qty
1,20190101,선케어,선크림,207
2,20190102,선케어,선크림,235
3,20190103,선케어,선크림,256
4,20190104,선케어,선크림,160
5,20190105,선케어,선크림,146
6,20190106,선케어,선크림,187
7,20190107,선케어,선크림,288
8,20190108,선케어,선크림,213
9,20190109,선케어,선크림,245
10,20190110,선케어,선크림,257
11,20190111,선케어,선크림,190
12,20190112,선케어,선크림,157
13,20190113,선케어,선크림,192
14,20190114,선케어,선크림,237
15,20190115,선케어,선크림,222
16,20190116,선케어,선크림,247
17,20190117,선케어,선크림,215
18,20190118,선케어,선크림,189
19,20190119,선케어,선크림,155
20,20190120,선케어,선크림,170
21,20190121,선케어,선크림,255
22,20190122,선케어,선크림,277
23,20190123,선케어,선크림,228
24,20190124,선케어,선크림,211
25,20190125,선케어,선크림,193
26,20190126,선케어,선크림,135
27,20190127,선케어,선크림,186
28,20190128,선케어,선크림,279
29,20190129,선케어,선크림,288
30,20190130,선케어,선크림,224
31,20190131,선케어,선크림,194
32,20190201,선케어,선크림,135
33,20190202,선케어,선크림,114
34,20190203,선케어,선크림,104
35,20190204,선케어,선크림,125
36,20190205,선케어,선크림,151
37,20190206,선케어,선크림,222
38,20190207,선케어,선크림,325
39,20190208,선케어,선크림,259
40,20190209,선케어,선크림,210
41,20190210,선케어,선크림,298
42,20190211,선케어,선크림,435
43,20190212,선케어,선크림,344
44,20190213,선케어,선크림,319
45,20190214,선케어,선크림,321
46,20190215,선케어,선크림,268
47,20190216,선케어,선크림,196
48,20190217,선케어,선크림,216
49,20190218,선케어,선크림,312
50,20190219,선케어,선크림,251
51,20190220,선케어,선크림,265
52,20190221,선케어,선크림,279
53,20190222,선케어,선크림,248
54,20190223,선케어,선크림,221
55,20190224,선케어,선크림,241
56,20190225,선케어,선크림,412
57,20190226,선케어,선크림,353
58,20190227,선케어,선크림,358
59,20190228,선케어,선크림,284
60,20190301,선케어,선크림,252
61,20190302,선케어,선크림,329
62,20190303,선케어,선크림,299
63,20190304,선케어,선크림,455
64,20190305,선케어,선크림,396
65,20190306,선케어,선크림,381
66,20190307,선케어,선크림,381
67,20190308,선케어,선크림,316
68,20190309,선케어,선크림,242
69,20190310,선케어,선크림,358
70,20190311,선케어,선크림,361
71,20190312,선케어,선크림,345
72,20190313,선케어,선크림,352
73,20190314,선케어,선크림,400
74,20190315,선케어,선크림,323
75,20190316,선케어,선크림,268
76,20190317,선케어,선크림,346
77,20190318,선케어,선크림,431
78,20190319,선케어,선크림,382
79,20190320,선케어,선크림,356
80,20190321,선케어,선크림,335
81,20190322,선케어,선크림,313
82,20190323,선케어,선크림,270
83,20190324,선케어,선크림,259
84,20190325,선케어,선크림,393
85,20190326,선케어,선크림,402
86,20190327,선케어,선크림,334
87,20190328,선케어,선크림,469
88,20190329,선케어,선크림,306
89,20190330,선케어,선크림,250
90,20190331,선케어,선크림,365
91,20190401,선케어,선크림,497
92,20190402,선케어,선크림,431
93,20190403,선케어,선크림,432
94,20190404,선케어,선크림,498
95,20190405,선케어,선크림,310
96,20190406,선케어,선크림,286
97,20190407,선케어,선크림,336
98,20190408,선케어,선크림,590
99,20190409,선케어,선크림,491
100,20190410,선케어,선크림,450
