,date,big_cat,sm_cat,sum_qty
1,20180101,헤어케어,헤어케어세트,612
2,20180102,헤어케어,헤어케어세트,623
3,20180103,헤어케어,헤어케어세트,581
4,20180104,헤어케어,헤어케어세트,525
5,20180105,헤어케어,헤어케어세트,495
6,20180106,헤어케어,헤어케어세트,413
7,20180107,헤어케어,헤어케어세트,456
8,20180108,헤어케어,헤어케어세트,637
9,20180109,헤어케어,헤어케어세트,525
10,20180110,헤어케어,헤어케어세트,619
11,20180111,헤어케어,헤어케어세트,945
12,20180112,헤어케어,헤어케어세트,821
13,20180113,헤어케어,헤어케어세트,417
14,20180114,헤어케어,헤어케어세트,548
15,20180115,헤어케어,헤어케어세트,615
16,20180116,헤어케어,헤어케어세트,783
17,20180117,헤어케어,헤어케어세트,595
18,20180118,헤어케어,헤어케어세트,684
19,20180119,헤어케어,헤어케어세트,574
20,20180120,헤어케어,헤어케어세트,374
21,20180121,헤어케어,헤어케어세트,482
22,20180122,헤어케어,헤어케어세트,647
23,20180123,헤어케어,헤어케어세트,600
24,20180124,헤어케어,헤어케어세트,606
25,20180125,헤어케어,헤어케어세트,638
26,20180126,헤어케어,헤어케어세트,521
27,20180127,헤어케어,헤어케어세트,633
28,20180128,헤어케어,헤어케어세트,510
29,20180129,헤어케어,헤어케어세트,677
30,20180130,헤어케어,헤어케어세트,642
31,20180131,헤어케어,헤어케어세트,637
32,20180201,헤어케어,헤어케어세트,635
33,20180202,헤어케어,헤어케어세트,1076
34,20180203,헤어케어,헤어케어세트,905
35,20180204,헤어케어,헤어케어세트,615
36,20180205,헤어케어,헤어케어세트,662
37,20180206,헤어케어,헤어케어세트,648
38,20180207,헤어케어,헤어케어세트,649
39,20180208,헤어케어,헤어케어세트,990
40,20180209,헤어케어,헤어케어세트,460
41,20180210,헤어케어,헤어케어세트,684
42,20180211,헤어케어,헤어케어세트,566
43,20180212,헤어케어,헤어케어세트,529
44,20180213,헤어케어,헤어케어세트,358
45,20180214,헤어케어,헤어케어세트,384
46,20180215,헤어케어,헤어케어세트,238
47,20180216,헤어케어,헤어케어세트,220
48,20180217,헤어케어,헤어케어세트,348
49,20180218,헤어케어,헤어케어세트,1097
50,20180219,헤어케어,헤어케어세트,788
51,20180220,헤어케어,헤어케어세트,753
52,20180221,헤어케어,헤어케어세트,1008
53,20180222,헤어케어,헤어케어세트,677
54,20180223,헤어케어,헤어케어세트,689
55,20180224,헤어케어,헤어케어세트,662
56,20180225,헤어케어,헤어케어세트,854
57,20180226,헤어케어,헤어케어세트,929
58,20180227,헤어케어,헤어케어세트,1490
59,20180228,헤어케어,헤어케어세트,661
60,20180301,헤어케어,헤어케어세트,698
61,20180302,헤어케어,헤어케어세트,508
62,20180303,헤어케어,헤어케어세트,1237
63,20180304,헤어케어,헤어케어세트,532
64,20180305,헤어케어,헤어케어세트,651
65,20180306,헤어케어,헤어케어세트,797
66,20180307,헤어케어,헤어케어세트,600
67,20180308,헤어케어,헤어케어세트,516
68,20180309,헤어케어,헤어케어세트,422
69,20180310,헤어케어,헤어케어세트,629
70,20180311,헤어케어,헤어케어세트,845
71,20180312,헤어케어,헤어케어세트,627
72,20180313,헤어케어,헤어케어세트,532
73,20180314,헤어케어,헤어케어세트,767
74,20180315,헤어케어,헤어케어세트,532
75,20180316,헤어케어,헤어케어세트,1070
76,20180317,헤어케어,헤어케어세트,364
77,20180318,헤어케어,헤어케어세트,766
78,20180319,헤어케어,헤어케어세트,578
79,20180320,헤어케어,헤어케어세트,864
80,20180321,헤어케어,헤어케어세트,589
81,20180322,헤어케어,헤어케어세트,599
82,20180323,헤어케어,헤어케어세트,775
83,20180324,헤어케어,헤어케어세트,629
84,20180325,헤어케어,헤어케어세트,550
85,20180326,헤어케어,헤어케어세트,639
86,20180327,헤어케어,헤어케어세트,741
87,20180328,헤어케어,헤어케어세트,574
88,20180329,헤어케어,헤어케어세트,771
89,20180330,헤어케어,헤어케어세트,553
90,20180331,헤어케어,헤어케어세트,718
91,20180401,헤어케어,헤어케어세트,455
92,20180402,헤어케어,헤어케어세트,555
93,20180403,헤어케어,헤어케어세트,587
94,20180404,헤어케어,헤어케어세트,801
95,20180405,헤어케어,헤어케어세트,514
96,20180406,헤어케어,헤어케어세트,443
97,20180407,헤어케어,헤어케어세트,746
98,20180408,헤어케어,헤어케어세트,718
99,20180409,헤어케어,헤어케어세트,650
100,20180410,헤어케어,헤어케어세트,818
101,20180411,헤어케어,헤어케어세트,596
102,20180412,헤어케어,헤어케어세트,562
103,20180413,헤어케어,헤어케어세트,479
104,20180414,헤어케어,헤어케어세트,1378
105,20180415,헤어케어,헤어케어세트,711
106,20180416,헤어케어,헤어케어세트,607
107,20180417,헤어케어,헤어케어세트,536
108,20180418,헤어케어,헤어케어세트,602
109,20180419,헤어케어,헤어케어세트,680
110,20180420,헤어케어,헤어케어세트,490
111,20180421,헤어케어,헤어케어세트,839
112,20180422,헤어케어,헤어케어세트,1085
113,20180423,헤어케어,헤어케어세트,555
114,20180424,헤어케어,헤어케어세트,516
115,20180425,헤어케어,헤어케어세트,710
116,20180426,헤어케어,헤어케어세트,531
117,20180427,헤어케어,헤어케어세트,420
118,20180428,헤어케어,헤어케어세트,301
119,20180429,헤어케어,헤어케어세트,543
120,20180430,헤어케어,헤어케어세트,536
121,20180501,헤어케어,헤어케어세트,437
122,20180502,헤어케어,헤어케어세트,507
123,20180503,헤어케어,헤어케어세트,543
124,20180504,헤어케어,헤어케어세트,897
125,20180505,헤어케어,헤어케어세트,436
126,20180506,헤어케어,헤어케어세트,439
127,20180507,헤어케어,헤어케어세트,668
128,20180508,헤어케어,헤어케어세트,617
129,20180509,헤어케어,헤어케어세트,556
130,20180510,헤어케어,헤어케어세트,688
131,20180511,헤어케어,헤어케어세트,650
132,20180512,헤어케어,헤어케어세트,570
133,20180513,헤어케어,헤어케어세트,504
134,20180514,헤어케어,헤어케어세트,1496
