,date,big_cat,sm_cat,sum_qty
1,20180101,건강즙/음료,옻/칡/쑥즙,511
2,20180102,건강즙/음료,옻/칡/쑥즙,814
3,20180103,건강즙/음료,옻/칡/쑥즙,747
4,20180104,건강즙/음료,옻/칡/쑥즙,704
5,20180105,건강즙/음료,옻/칡/쑥즙,668
6,20180106,건강즙/음료,옻/칡/쑥즙,461
7,20180107,건강즙/음료,옻/칡/쑥즙,519
8,20180108,건강즙/음료,옻/칡/쑥즙,757
9,20180109,건강즙/음료,옻/칡/쑥즙,699
10,20180110,건강즙/음료,옻/칡/쑥즙,724
11,20180111,건강즙/음료,옻/칡/쑥즙,754
12,20180112,건강즙/음료,옻/칡/쑥즙,579
13,20180113,건강즙/음료,옻/칡/쑥즙,431
14,20180114,건강즙/음료,옻/칡/쑥즙,553
15,20180115,건강즙/음료,옻/칡/쑥즙,790
16,20180116,건강즙/음료,옻/칡/쑥즙,755
17,20180117,건강즙/음료,옻/칡/쑥즙,621
18,20180118,건강즙/음료,옻/칡/쑥즙,1001
19,20180119,건강즙/음료,옻/칡/쑥즙,711
20,20180120,건강즙/음료,옻/칡/쑥즙,454
21,20180121,건강즙/음료,옻/칡/쑥즙,557
22,20180122,건강즙/음료,옻/칡/쑥즙,718
23,20180123,건강즙/음료,옻/칡/쑥즙,927
24,20180124,건강즙/음료,옻/칡/쑥즙,734
25,20180125,건강즙/음료,옻/칡/쑥즙,760
26,20180126,건강즙/음료,옻/칡/쑥즙,554
27,20180127,건강즙/음료,옻/칡/쑥즙,440
28,20180128,건강즙/음료,옻/칡/쑥즙,542
29,20180129,건강즙/음료,옻/칡/쑥즙,882
30,20180130,건강즙/음료,옻/칡/쑥즙,742
31,20180131,건강즙/음료,옻/칡/쑥즙,639
32,20180201,건강즙/음료,옻/칡/쑥즙,785
33,20180202,건강즙/음료,옻/칡/쑥즙,654
34,20180203,건강즙/음료,옻/칡/쑥즙,508
35,20180204,건강즙/음료,옻/칡/쑥즙,609
36,20180205,건강즙/음료,옻/칡/쑥즙,1356
37,20180206,건강즙/음료,옻/칡/쑥즙,993
38,20180207,건강즙/음료,옻/칡/쑥즙,859
39,20180208,건강즙/음료,옻/칡/쑥즙,776
40,20180209,건강즙/음료,옻/칡/쑥즙,757
41,20180210,건강즙/음료,옻/칡/쑥즙,550
42,20180211,건강즙/음료,옻/칡/쑥즙,624
43,20180212,건강즙/음료,옻/칡/쑥즙,684
44,20180213,건강즙/음료,옻/칡/쑥즙,439
45,20180214,건강즙/음료,옻/칡/쑥즙,342
46,20180215,건강즙/음료,옻/칡/쑥즙,265
47,20180216,건강즙/음료,옻/칡/쑥즙,387
48,20180217,건강즙/음료,옻/칡/쑥즙,453
49,20180218,건강즙/음료,옻/칡/쑥즙,494
50,20180219,건강즙/음료,옻/칡/쑥즙,807
51,20180220,건강즙/음료,옻/칡/쑥즙,676
52,20180221,건강즙/음료,옻/칡/쑥즙,638
53,20180222,건강즙/음료,옻/칡/쑥즙,626
54,20180223,건강즙/음료,옻/칡/쑥즙,481
55,20180224,건강즙/음료,옻/칡/쑥즙,378
56,20180225,건강즙/음료,옻/칡/쑥즙,464
57,20180226,건강즙/음료,옻/칡/쑥즙,657
58,20180227,건강즙/음료,옻/칡/쑥즙,646
59,20180228,건강즙/음료,옻/칡/쑥즙,593
60,20180301,건강즙/음료,옻/칡/쑥즙,745
61,20180302,건강즙/음료,옻/칡/쑥즙,560
62,20180303,건강즙/음료,옻/칡/쑥즙,390
63,20180304,건강즙/음료,옻/칡/쑥즙,513
64,20180305,건강즙/음료,옻/칡/쑥즙,701
65,20180306,건강즙/음료,옻/칡/쑥즙,791
66,20180307,건강즙/음료,옻/칡/쑥즙,746
67,20180308,건강즙/음료,옻/칡/쑥즙,626
68,20180309,건강즙/음료,옻/칡/쑥즙,571
69,20180310,건강즙/음료,옻/칡/쑥즙,379
70,20180311,건강즙/음료,옻/칡/쑥즙,526
71,20180312,건강즙/음료,옻/칡/쑥즙,728
72,20180313,건강즙/음료,옻/칡/쑥즙,662
73,20180314,건강즙/음료,옻/칡/쑥즙,699
74,20180315,건강즙/음료,옻/칡/쑥즙,610
75,20180316,건강즙/음료,옻/칡/쑥즙,610
76,20180317,건강즙/음료,옻/칡/쑥즙,373
77,20180318,건강즙/음료,옻/칡/쑥즙,588
78,20180319,건강즙/음료,옻/칡/쑥즙,707
79,20180320,건강즙/음료,옻/칡/쑥즙,621
80,20180321,건강즙/음료,옻/칡/쑥즙,648
81,20180322,건강즙/음료,옻/칡/쑥즙,621
82,20180323,건강즙/음료,옻/칡/쑥즙,569
83,20180324,건강즙/음료,옻/칡/쑥즙,449
84,20180325,건강즙/음료,옻/칡/쑥즙,615
85,20180326,건강즙/음료,옻/칡/쑥즙,791
86,20180327,건강즙/음료,옻/칡/쑥즙,665
87,20180328,건강즙/음료,옻/칡/쑥즙,673
88,20180329,건강즙/음료,옻/칡/쑥즙,610
89,20180330,건강즙/음료,옻/칡/쑥즙,712
90,20180331,건강즙/음료,옻/칡/쑥즙,418
91,20180401,건강즙/음료,옻/칡/쑥즙,572
92,20180402,건강즙/음료,옻/칡/쑥즙,748
93,20180403,건강즙/음료,옻/칡/쑥즙,982
94,20180404,건강즙/음료,옻/칡/쑥즙,704
95,20180405,건강즙/음료,옻/칡/쑥즙,634
96,20180406,건강즙/음료,옻/칡/쑥즙,884
97,20180407,건강즙/음료,옻/칡/쑥즙,419
98,20180408,건강즙/음료,옻/칡/쑥즙,539
99,20180409,건강즙/음료,옻/칡/쑥즙,863
100,20180410,건강즙/음료,옻/칡/쑥즙,703
101,20180411,건강즙/음료,옻/칡/쑥즙,1003
102,20180412,건강즙/음료,옻/칡/쑥즙,652
103,20180413,건강즙/음료,옻/칡/쑥즙,586
104,20180414,건강즙/음료,옻/칡/쑥즙,416
105,20180415,건강즙/음료,옻/칡/쑥즙,515
106,20180416,건강즙/음료,옻/칡/쑥즙,883
107,20180417,건강즙/음료,옻/칡/쑥즙,1145
108,20180418,건강즙/음료,옻/칡/쑥즙,791
109,20180419,건강즙/음료,옻/칡/쑥즙,713
110,20180420,건강즙/음료,옻/칡/쑥즙,561
111,20180421,건강즙/음료,옻/칡/쑥즙,411
112,20180422,건강즙/음료,옻/칡/쑥즙,592
113,20180423,건강즙/음료,옻/칡/쑥즙,757
114,20180424,건강즙/음료,옻/칡/쑥즙,726
115,20180425,건강즙/음료,옻/칡/쑥즙,633
116,20180426,건강즙/음료,옻/칡/쑥즙,654
117,20180427,건강즙/음료,옻/칡/쑥즙,492
118,20180428,건강즙/음료,옻/칡/쑥즙,393
119,20180429,건강즙/음료,옻/칡/쑥즙,544
120,20180430,건강즙/음료,옻/칡/쑥즙,696
121,20180501,건강즙/음료,옻/칡/쑥즙,442
122,20180502,건강즙/음료,옻/칡/쑥즙,586
123,20180503,건강즙/음료,옻/칡/쑥즙,913
124,20180504,건강즙/음료,옻/칡/쑥즙,581
125,20180505,건강즙/음료,옻/칡/쑥즙,503
126,20180506,건강즙/음료,옻/칡/쑥즙,731
127,20180507,건강즙/음료,옻/칡/쑥즙,309
128,20180508,건강즙/음료,옻/칡/쑥즙,423
129,20180509,건강즙/음료,옻/칡/쑥즙,620
130,20180510,건강즙/음료,옻/칡/쑥즙,607
131,20180511,건강즙/음료,옻/칡/쑥즙,880
132,20180512,건강즙/음료,옻/칡/쑥즙,507
133,20180513,건강즙/음료,옻/칡/쑥즙,493
134,20180514,건강즙/음료,옻/칡/쑥즙,341
135,20180515,건강즙/음료,옻/칡/쑥즙,420
136,20180516,건강즙/음료,옻/칡/쑥즙,708
137,20180517,건강즙/음료,옻/칡/쑥즙,1073
138,20180518,건강즙/음료,옻/칡/쑥즙,684
139,20180519,건강즙/음료,옻/칡/쑥즙,632
140,20180520,건강즙/음료,옻/칡/쑥즙,491
141,20180521,건강즙/음료,옻/칡/쑥즙,364
142,20180522,건강즙/음료,옻/칡/쑥즙,507
143,20180523,건강즙/음료,옻/칡/쑥즙,580
144,20180524,건강즙/음료,옻/칡/쑥즙,602
145,20180525,건강즙/음료,옻/칡/쑥즙,552
146,20180526,건강즙/음료,옻/칡/쑥즙,549
147,20180527,건강즙/음료,옻/칡/쑥즙,373
148,20180528,건강즙/음료,옻/칡/쑥즙,322
149,20180529,건강즙/음료,옻/칡/쑥즙,439
150,20180530,건강즙/음료,옻/칡/쑥즙,544
151,20180531,건강즙/음료,옻/칡/쑥즙,542
152,20180601,건강즙/음료,옻/칡/쑥즙,526
153,20180602,건강즙/음료,옻/칡/쑥즙,348
154,20180603,건강즙/음료,옻/칡/쑥즙,439
155,20180604,건강즙/음료,옻/칡/쑥즙,642
156,20180605,건강즙/음료,옻/칡/쑥즙,529
157,20180606,건강즙/음료,옻/칡/쑥즙,474
158,20180607,건강즙/음료,옻/칡/쑥즙,610
159,20180608,건강즙/음료,옻/칡/쑥즙,469
160,20180609,건강즙/음료,옻/칡/쑥즙,349
161,20180610,건강즙/음료,옻/칡/쑥즙,514
162,20180611,건강즙/음료,옻/칡/쑥즙,654
163,20180612,건강즙/음료,옻/칡/쑥즙,511
164,20180613,건강즙/음료,옻/칡/쑥즙,512
165,20180614,건강즙/음료,옻/칡/쑥즙,668
166,20180615,건강즙/음료,옻/칡/쑥즙,540
167,20180616,건강즙/음료,옻/칡/쑥즙,342
168,20180617,건강즙/음료,옻/칡/쑥즙,463
169,20180618,건강즙/음료,옻/칡/쑥즙,662
170,20180619,건강즙/음료,옻/칡/쑥즙,590
171,20180620,건강즙/음료,옻/칡/쑥즙,577
172,20180621,건강즙/음료,옻/칡/쑥즙,772
173,20180622,건강즙/음료,옻/칡/쑥즙,436
174,20180623,건강즙/음료,옻/칡/쑥즙,389
175,20180624,건강즙/음료,옻/칡/쑥즙,401
