,date,big_cat,sm_cat,sum_qty
1,20180101,홍삼인삼,홍삼/인삼 제품,234
2,20180102,홍삼인삼,홍삼/인삼 제품,541
3,20180103,홍삼인삼,홍삼/인삼 제품,330
4,20180104,홍삼인삼,홍삼/인삼 제품,309
5,20180105,홍삼인삼,홍삼/인삼 제품,267
6,20180106,홍삼인삼,홍삼/인삼 제품,195
7,20180107,홍삼인삼,홍삼/인삼 제품,188
8,20180108,홍삼인삼,홍삼/인삼 제품,404
9,20180109,홍삼인삼,홍삼/인삼 제품,273
10,20180110,홍삼인삼,홍삼/인삼 제품,442
11,20180111,홍삼인삼,홍삼/인삼 제품,383
12,20180112,홍삼인삼,홍삼/인삼 제품,298
13,20180113,홍삼인삼,홍삼/인삼 제품,196
14,20180114,홍삼인삼,홍삼/인삼 제품,233
15,20180115,홍삼인삼,홍삼/인삼 제품,334
16,20180116,홍삼인삼,홍삼/인삼 제품,340
17,20180117,홍삼인삼,홍삼/인삼 제품,382
18,20180118,홍삼인삼,홍삼/인삼 제품,307
19,20180119,홍삼인삼,홍삼/인삼 제품,266
20,20180120,홍삼인삼,홍삼/인삼 제품,191
21,20180121,홍삼인삼,홍삼/인삼 제품,280
22,20180122,홍삼인삼,홍삼/인삼 제품,411
23,20180123,홍삼인삼,홍삼/인삼 제품,443
24,20180124,홍삼인삼,홍삼/인삼 제품,478
25,20180125,홍삼인삼,홍삼/인삼 제품,360
26,20180126,홍삼인삼,홍삼/인삼 제품,524
27,20180127,홍삼인삼,홍삼/인삼 제품,274
28,20180128,홍삼인삼,홍삼/인삼 제품,351
29,20180129,홍삼인삼,홍삼/인삼 제품,485
30,20180130,홍삼인삼,홍삼/인삼 제품,479
31,20180131,홍삼인삼,홍삼/인삼 제품,505
32,20180201,홍삼인삼,홍삼/인삼 제품,671
33,20180202,홍삼인삼,홍삼/인삼 제품,676
34,20180203,홍삼인삼,홍삼/인삼 제품,452
35,20180204,홍삼인삼,홍삼/인삼 제품,531
36,20180205,홍삼인삼,홍삼/인삼 제품,888
37,20180206,홍삼인삼,홍삼/인삼 제품,894
38,20180207,홍삼인삼,홍삼/인삼 제품,1093
39,20180208,홍삼인삼,홍삼/인삼 제품,997
40,20180209,홍삼인삼,홍삼/인삼 제품,968
41,20180210,홍삼인삼,홍삼/인삼 제품,540
42,20180211,홍삼인삼,홍삼/인삼 제품,673
43,20180212,홍삼인삼,홍삼/인삼 제품,873
44,20180213,홍삼인삼,홍삼/인삼 제품,737
45,20180214,홍삼인삼,홍삼/인삼 제품,383
46,20180215,홍삼인삼,홍삼/인삼 제품,192
47,20180216,홍삼인삼,홍삼/인삼 제품,169
48,20180217,홍삼인삼,홍삼/인삼 제품,168
49,20180218,홍삼인삼,홍삼/인삼 제품,253
50,20180219,홍삼인삼,홍삼/인삼 제품,352
51,20180220,홍삼인삼,홍삼/인삼 제품,289
52,20180221,홍삼인삼,홍삼/인삼 제품,437
53,20180222,홍삼인삼,홍삼/인삼 제품,266
54,20180223,홍삼인삼,홍삼/인삼 제품,240
55,20180224,홍삼인삼,홍삼/인삼 제품,168
56,20180225,홍삼인삼,홍삼/인삼 제품,203
57,20180226,홍삼인삼,홍삼/인삼 제품,419
58,20180227,홍삼인삼,홍삼/인삼 제품,331
59,20180228,홍삼인삼,홍삼/인삼 제품,261
60,20180301,홍삼인삼,홍삼/인삼 제품,230
61,20180302,홍삼인삼,홍삼/인삼 제품,296
62,20180303,홍삼인삼,홍삼/인삼 제품,195
63,20180304,홍삼인삼,홍삼/인삼 제품,191
64,20180305,홍삼인삼,홍삼/인삼 제품,597
65,20180306,홍삼인삼,홍삼/인삼 제품,313
66,20180307,홍삼인삼,홍삼/인삼 제품,291
67,20180308,홍삼인삼,홍삼/인삼 제품,243
68,20180309,홍삼인삼,홍삼/인삼 제품,221
69,20180310,홍삼인삼,홍삼/인삼 제품,311
70,20180311,홍삼인삼,홍삼/인삼 제품,202
71,20180312,홍삼인삼,홍삼/인삼 제품,423
72,20180313,홍삼인삼,홍삼/인삼 제품,294
73,20180314,홍삼인삼,홍삼/인삼 제품,320
74,20180315,홍삼인삼,홍삼/인삼 제품,350
75,20180316,홍삼인삼,홍삼/인삼 제품,302
76,20180317,홍삼인삼,홍삼/인삼 제품,157
77,20180318,홍삼인삼,홍삼/인삼 제품,282
78,20180319,홍삼인삼,홍삼/인삼 제품,375
79,20180320,홍삼인삼,홍삼/인삼 제품,268
80,20180321,홍삼인삼,홍삼/인삼 제품,321
81,20180322,홍삼인삼,홍삼/인삼 제품,275
82,20180323,홍삼인삼,홍삼/인삼 제품,262
83,20180324,홍삼인삼,홍삼/인삼 제품,152
84,20180325,홍삼인삼,홍삼/인삼 제품,206
85,20180326,홍삼인삼,홍삼/인삼 제품,270
86,20180327,홍삼인삼,홍삼/인삼 제품,263
87,20180328,홍삼인삼,홍삼/인삼 제품,320
88,20180329,홍삼인삼,홍삼/인삼 제품,381
89,20180330,홍삼인삼,홍삼/인삼 제품,200
90,20180331,홍삼인삼,홍삼/인삼 제품,179
91,20180401,홍삼인삼,홍삼/인삼 제품,230
92,20180402,홍삼인삼,홍삼/인삼 제품,333
93,20180403,홍삼인삼,홍삼/인삼 제품,300
94,20180404,홍삼인삼,홍삼/인삼 제품,252
95,20180405,홍삼인삼,홍삼/인삼 제품,264
96,20180406,홍삼인삼,홍삼/인삼 제품,257
97,20180407,홍삼인삼,홍삼/인삼 제품,283
98,20180408,홍삼인삼,홍삼/인삼 제품,291
99,20180409,홍삼인삼,홍삼/인삼 제품,413
100,20180410,홍삼인삼,홍삼/인삼 제품,347
101,20180411,홍삼인삼,홍삼/인삼 제품,328
102,20180412,홍삼인삼,홍삼/인삼 제품,342
103,20180413,홍삼인삼,홍삼/인삼 제품,223
104,20180414,홍삼인삼,홍삼/인삼 제품,386
105,20180415,홍삼인삼,홍삼/인삼 제품,235
106,20180416,홍삼인삼,홍삼/인삼 제품,410
107,20180417,홍삼인삼,홍삼/인삼 제품,446
108,20180418,홍삼인삼,홍삼/인삼 제품,362
109,20180419,홍삼인삼,홍삼/인삼 제품,441
110,20180420,홍삼인삼,홍삼/인삼 제품,342
111,20180421,홍삼인삼,홍삼/인삼 제품,242
112,20180422,홍삼인삼,홍삼/인삼 제품,271
113,20180423,홍삼인삼,홍삼/인삼 제품,382
114,20180424,홍삼인삼,홍삼/인삼 제품,336
115,20180425,홍삼인삼,홍삼/인삼 제품,604
116,20180426,홍삼인삼,홍삼/인삼 제품,405
117,20180427,홍삼인삼,홍삼/인삼 제품,343
118,20180428,홍삼인삼,홍삼/인삼 제품,336
119,20180429,홍삼인삼,홍삼/인삼 제품,358
120,20180430,홍삼인삼,홍삼/인삼 제품,561
121,20180501,홍삼인삼,홍삼/인삼 제품,217
122,20180502,홍삼인삼,홍삼/인삼 제품,336
123,20180503,홍삼인삼,홍삼/인삼 제품,283
124,20180504,홍삼인삼,홍삼/인삼 제품,291
125,20180505,홍삼인삼,홍삼/인삼 제품,301
126,20180506,홍삼인삼,홍삼/인삼 제품,303
127,20180507,홍삼인삼,홍삼/인삼 제품,274
128,20180508,홍삼인삼,홍삼/인삼 제품,292
129,20180509,홍삼인삼,홍삼/인삼 제품,446
130,20180510,홍삼인삼,홍삼/인삼 제품,387
131,20180511,홍삼인삼,홍삼/인삼 제품,392
132,20180512,홍삼인삼,홍삼/인삼 제품,308
133,20180513,홍삼인삼,홍삼/인삼 제품,246
134,20180514,홍삼인삼,홍삼/인삼 제품,385
135,20180515,홍삼인삼,홍삼/인삼 제품,306
136,20180516,홍삼인삼,홍삼/인삼 제품,446
137,20180517,홍삼인삼,홍삼/인삼 제품,555
138,20180518,홍삼인삼,홍삼/인삼 제품,408
139,20180519,홍삼인삼,홍삼/인삼 제품,491
140,20180520,홍삼인삼,홍삼/인삼 제품,385
141,20180521,홍삼인삼,홍삼/인삼 제품,297
142,20180522,홍삼인삼,홍삼/인삼 제품,317
143,20180523,홍삼인삼,홍삼/인삼 제품,491
144,20180524,홍삼인삼,홍삼/인삼 제품,428
145,20180525,홍삼인삼,홍삼/인삼 제품,915
146,20180526,홍삼인삼,홍삼/인삼 제품,476
147,20180527,홍삼인삼,홍삼/인삼 제품,420
148,20180528,홍삼인삼,홍삼/인삼 제품,413
149,20180529,홍삼인삼,홍삼/인삼 제품,422
150,20180530,홍삼인삼,홍삼/인삼 제품,627
151,20180531,홍삼인삼,홍삼/인삼 제품,221
152,20180601,홍삼인삼,홍삼/인삼 제품,224
153,20180602,홍삼인삼,홍삼/인삼 제품,165
154,20180603,홍삼인삼,홍삼/인삼 제품,191
155,20180604,홍삼인삼,홍삼/인삼 제품,352
156,20180605,홍삼인삼,홍삼/인삼 제품,249
157,20180606,홍삼인삼,홍삼/인삼 제품,379
158,20180607,홍삼인삼,홍삼/인삼 제품,278
159,20180608,홍삼인삼,홍삼/인삼 제품,194
160,20180609,홍삼인삼,홍삼/인삼 제품,279
161,20180610,홍삼인삼,홍삼/인삼 제품,188
162,20180611,홍삼인삼,홍삼/인삼 제품,349
163,20180612,홍삼인삼,홍삼/인삼 제품,220
164,20180613,홍삼인삼,홍삼/인삼 제품,179
165,20180614,홍삼인삼,홍삼/인삼 제품,297
166,20180615,홍삼인삼,홍삼/인삼 제품,277
167,20180616,홍삼인삼,홍삼/인삼 제품,149
168,20180617,홍삼인삼,홍삼/인삼 제품,168
169,20180618,홍삼인삼,홍삼/인삼 제품,426
170,20180619,홍삼인삼,홍삼/인삼 제품,329
171,20180620,홍삼인삼,홍삼/인삼 제품,474
172,20180621,홍삼인삼,홍삼/인삼 제품,291
173,20180622,홍삼인삼,홍삼/인삼 제품,265
174,20180623,홍삼인삼,홍삼/인삼 제품,139
175,20180624,홍삼인삼,홍삼/인삼 제품,167
176,20180625,홍삼인삼,홍삼/인삼 제품,293
177,20180626,홍삼인삼,홍삼/인삼 제품,325
178,20180627,홍삼인삼,홍삼/인삼 제품,316
179,20180628,홍삼인삼,홍삼/인삼 제품,245
180,20180629,홍삼인삼,홍삼/인삼 제품,216
181,20180630,홍삼인삼,홍삼/인삼 제품,200
182,20180701,홍삼인삼,홍삼/인삼 제품,212
183,20180702,홍삼인삼,홍삼/인삼 제품,326
184,20180703,홍삼인삼,홍삼/인삼 제품,315
185,20180704,홍삼인삼,홍삼/인삼 제품,469
186,20180705,홍삼인삼,홍삼/인삼 제품,307
187,20180706,홍삼인삼,홍삼/인삼 제품,230
188,20180707,홍삼인삼,홍삼/인삼 제품,191
189,20180708,홍삼인삼,홍삼/인삼 제품,176
190,20180709,홍삼인삼,홍삼/인삼 제품,371
191,20180710,홍삼인삼,홍삼/인삼 제품,286
192,20180711,홍삼인삼,홍삼/인삼 제품,378
193,20180712,홍삼인삼,홍삼/인삼 제품,292
194,20180713,홍삼인삼,홍삼/인삼 제품,325
195,20180714,홍삼인삼,홍삼/인삼 제품,194
196,20180715,홍삼인삼,홍삼/인삼 제품,243
197,20180716,홍삼인삼,홍삼/인삼 제품,364
198,20180717,홍삼인삼,홍삼/인삼 제품,528
199,20180718,홍삼인삼,홍삼/인삼 제품,318
200,20180719,홍삼인삼,홍삼/인삼 제품,285
201,20180720,홍삼인삼,홍삼/인삼 제품,276
202,20180721,홍삼인삼,홍삼/인삼 제품,186
203,20180722,홍삼인삼,홍삼/인삼 제품,206
204,20180723,홍삼인삼,홍삼/인삼 제품,596
205,20180724,홍삼인삼,홍삼/인삼 제품,237
206,20180725,홍삼인삼,홍삼/인삼 제품,361
207,20180726,홍삼인삼,홍삼/인삼 제품,281
208,20180727,홍삼인삼,홍삼/인삼 제품,170
209,20180728,홍삼인삼,홍삼/인삼 제품,127
210,20180729,홍삼인삼,홍삼/인삼 제품,246
211,20180730,홍삼인삼,홍삼/인삼 제품,258
212,20180731,홍삼인삼,홍삼/인삼 제품,221
213,20180801,홍삼인삼,홍삼/인삼 제품,229
214,20180802,홍삼인삼,홍삼/인삼 제품,217
215,20180803,홍삼인삼,홍삼/인삼 제품,184
216,20180804,홍삼인삼,홍삼/인삼 제품,207
217,20180805,홍삼인삼,홍삼/인삼 제품,187
218,20180806,홍삼인삼,홍삼/인삼 제품,304
219,20180807,홍삼인삼,홍삼/인삼 제품,267
220,20180808,홍삼인삼,홍삼/인삼 제품,253
221,20180809,홍삼인삼,홍삼/인삼 제품,293
222,20180810,홍삼인삼,홍삼/인삼 제품,245
223,20180811,홍삼인삼,홍삼/인삼 제품,176
224,20180812,홍삼인삼,홍삼/인삼 제품,224
225,20180813,홍삼인삼,홍삼/인삼 제품,303
226,20180814,홍삼인삼,홍삼/인삼 제품,234
227,20180815,홍삼인삼,홍삼/인삼 제품,333
228,20180816,홍삼인삼,홍삼/인삼 제품,336
229,20180817,홍삼인삼,홍삼/인삼 제품,223
230,20180818,홍삼인삼,홍삼/인삼 제품,188
231,20180819,홍삼인삼,홍삼/인삼 제품,230
232,20180820,홍삼인삼,홍삼/인삼 제품,352
233,20180821,홍삼인삼,홍삼/인삼 제품,431
234,20180822,홍삼인삼,홍삼/인삼 제품,301
235,20180823,홍삼인삼,홍삼/인삼 제품,285
236,20180824,홍삼인삼,홍삼/인삼 제품,295
237,20180825,홍삼인삼,홍삼/인삼 제품,187
238,20180826,홍삼인삼,홍삼/인삼 제품,248
239,20180827,홍삼인삼,홍삼/인삼 제품,343
240,20180828,홍삼인삼,홍삼/인삼 제품,282
