,date,big_cat,sm_cat,sum_qty
1,20180101,차,차/곡물 음료,745
2,20180102,차,차/곡물 음료,700
3,20180103,차,차/곡물 음료,827
4,20180104,차,차/곡물 음료,603
5,20180105,차,차/곡물 음료,447
6,20180106,차,차/곡물 음료,324
7,20180107,차,차/곡물 음료,401
8,20180108,차,차/곡물 음료,635
9,20180109,차,차/곡물 음료,705
10,20180110,차,차/곡물 음료,611
11,20180111,차,차/곡물 음료,573
12,20180112,차,차/곡물 음료,479
13,20180113,차,차/곡물 음료,331
14,20180114,차,차/곡물 음료,400
15,20180115,차,차/곡물 음료,1044
16,20180116,차,차/곡물 음료,667
17,20180117,차,차/곡물 음료,543
18,20180118,차,차/곡물 음료,511
19,20180119,차,차/곡물 음료,454
20,20180120,차,차/곡물 음료,298
21,20180121,차,차/곡물 음료,306
22,20180122,차,차/곡물 음료,624
23,20180123,차,차/곡물 음료,603
24,20180124,차,차/곡물 음료,588
25,20180125,차,차/곡물 음료,550
26,20180126,차,차/곡물 음료,424
27,20180127,차,차/곡물 음료,384
28,20180128,차,차/곡물 음료,370
29,20180129,차,차/곡물 음료,710
30,20180130,차,차/곡물 음료,634
31,20180131,차,차/곡물 음료,634
32,20180201,차,차/곡물 음료,618
33,20180202,차,차/곡물 음료,500
34,20180203,차,차/곡물 음료,353
35,20180204,차,차/곡물 음료,385
36,20180205,차,차/곡물 음료,646
37,20180206,차,차/곡물 음료,634
38,20180207,차,차/곡물 음료,604
39,20180208,차,차/곡물 음료,613
40,20180209,차,차/곡물 음료,436
41,20180210,차,차/곡물 음료,297
42,20180211,차,차/곡물 음료,376
43,20180212,차,차/곡물 음료,473
44,20180213,차,차/곡물 음료,307
45,20180214,차,차/곡물 음료,206
46,20180215,차,차/곡물 음료,219
47,20180216,차,차/곡물 음료,162
48,20180217,차,차/곡물 음료,212
49,20180218,차,차/곡물 음료,532
50,20180219,차,차/곡물 음료,760
51,20180220,차,차/곡물 음료,890
52,20180221,차,차/곡물 음료,622
53,20180222,차,차/곡물 음료,671
54,20180223,차,차/곡물 음료,452
55,20180224,차,차/곡물 음료,295
56,20180225,차,차/곡물 음료,491
57,20180226,차,차/곡물 음료,647
58,20180227,차,차/곡물 음료,555
59,20180228,차,차/곡물 음료,631
60,20180301,차,차/곡물 음료,442
61,20180302,차,차/곡물 음료,441
62,20180303,차,차/곡물 음료,354
63,20180304,차,차/곡물 음료,504
64,20180305,차,차/곡물 음료,643
65,20180306,차,차/곡물 음료,625
66,20180307,차,차/곡물 음료,530
67,20180308,차,차/곡물 음료,556
68,20180309,차,차/곡물 음료,405
69,20180310,차,차/곡물 음료,265
70,20180311,차,차/곡물 음료,402
71,20180312,차,차/곡물 음료,565
72,20180313,차,차/곡물 음료,541
73,20180314,차,차/곡물 음료,665
74,20180315,차,차/곡물 음료,469
75,20180316,차,차/곡물 음료,349
76,20180317,차,차/곡물 음료,308
77,20180318,차,차/곡물 음료,319
78,20180319,차,차/곡물 음료,512
79,20180320,차,차/곡물 음료,803
80,20180321,차,차/곡물 음료,598
81,20180322,차,차/곡물 음료,472
82,20180323,차,차/곡물 음료,446
83,20180324,차,차/곡물 음료,265
84,20180325,차,차/곡물 음료,372
85,20180326,차,차/곡물 음료,590
86,20180327,차,차/곡물 음료,628
87,20180328,차,차/곡물 음료,520
88,20180329,차,차/곡물 음료,468
89,20180330,차,차/곡물 음료,386
90,20180331,차,차/곡물 음료,308
91,20180401,차,차/곡물 음료,332
92,20180402,차,차/곡물 음료,578
93,20180403,차,차/곡물 음료,507
94,20180404,차,차/곡물 음료,581
95,20180405,차,차/곡물 음료,634
96,20180406,차,차/곡물 음료,369
97,20180407,차,차/곡물 음료,283
98,20180408,차,차/곡물 음료,383
99,20180409,차,차/곡물 음료,541
100,20180410,차,차/곡물 음료,733
101,20180411,차,차/곡물 음료,521
102,20180412,차,차/곡물 음료,381
103,20180413,차,차/곡물 음료,377
104,20180414,차,차/곡물 음료,256
105,20180415,차,차/곡물 음료,297
106,20180416,차,차/곡물 음료,627
107,20180417,차,차/곡물 음료,789
108,20180418,차,차/곡물 음료,653
109,20180419,차,차/곡물 음료,644
110,20180420,차,차/곡물 음료,462
111,20180421,차,차/곡물 음료,274
112,20180422,차,차/곡물 음료,359
113,20180423,차,차/곡물 음료,560
114,20180424,차,차/곡물 음료,494
115,20180425,차,차/곡물 음료,506
116,20180426,차,차/곡물 음료,468
117,20180427,차,차/곡물 음료,360
118,20180428,차,차/곡물 음료,282
119,20180429,차,차/곡물 음료,295
120,20180430,차,차/곡물 음료,500
121,20180501,차,차/곡물 음료,333
122,20180502,차,차/곡물 음료,572
123,20180503,차,차/곡물 음료,436
124,20180504,차,차/곡물 음료,533
125,20180505,차,차/곡물 음료,570
126,20180506,차,차/곡물 음료,345
127,20180507,차,차/곡물 음료,260
128,20180508,차,차/곡물 음료,365
