num,center,date_org,date,dust
108,서울,2018-01-01,20180101,38
108,서울,2018-01-02,20180102,32
108,서울,2018-01-03,20180103,32
108,서울,2018-01-04,20180104,40
108,서울,2018-01-05,20180105,46
108,서울,2018-01-06,20180106,40
108,서울,2018-01-07,20180107,42
108,서울,2018-01-08,20180108,41
108,서울,2018-01-09,20180109,35
108,서울,2018-01-10,20180110,26
108,서울,2018-01-11,20180111,29
108,서울,2018-01-12,20180112,24
108,서울,2018-01-13,20180113,44
108,서울,2018-01-14,20180114,52
108,서울,2018-01-15,20180115,56
108,서울,2018-01-16,20180116,87
108,서울,2018-01-17,20180117,80
108,서울,2018-01-18,20180118,67
108,서울,2018-01-19,20180119,50
108,서울,2018-01-20,20180120,86
108,서울,2018-01-21,20180121,53
108,서울,2018-01-22,20180122,34
108,서울,2018-01-23,20180123,19
108,서울,2018-01-24,20180124,28
108,서울,2018-01-25,20180125,24
108,서울,2018-01-26,20180126,30
108,서울,2018-01-27,20180127,38
108,서울,2018-01-28,20180128,26
108,서울,2018-01-29,20180129,42
108,서울,2018-01-30,20180130,39
108,서울,2018-01-31,20180131,35
108,서울,2018-02-01,20180201,34
108,서울,2018-02-02,20180202,43
108,서울,2018-02-03,20180203,28
108,서울,2018-02-04,20180204,31
108,서울,2018-02-05,20180205,24
108,서울,2018-02-06,20180206,28
108,서울,2018-02-07,20180207,36
108,서울,2018-02-08,20180208,42
108,서울,2018-02-09,20180209,51
108,서울,2018-02-10,20180210,55
108,서울,2018-02-11,20180211,48
108,서울,2018-02-12,20180212,45
108,서울,2018-02-13,20180213,46
108,서울,2018-02-14,20180214,56
108,서울,2018-02-15,20180215,35
108,서울,2018-02-16,20180216,38
108,서울,2018-02-17,20180217,45
108,서울,2018-02-18,20180218,35
108,서울,2018-02-19,20180219,50
108,서울,2018-02-20,20180220,49
108,서울,2018-02-21,20180221,34
108,서울,2018-02-22,20180222,39
108,서울,2018-02-24,20180224,59
108,서울,2018-02-25,20180225,35
108,서울,2018-02-26,20180226,53
108,서울,2018-02-27,20180227,76
108,서울,2018-03-01,20180301,33
108,서울,2018-03-02,20180302,66
108,서울,2018-03-03,20180303,58
