date_org,date,cum_sunvim,max_sunvim
2018-01-01,20180101,0.49,0.067
2018-01-02,20180102,0.48,0.071
2018-01-03,20180103,0.45,0.078
2018-01-04,20180104,0.28,0.05
2018-01-05,20180105,0.11,0.027
2018-01-06,20180106,0.4,0.064
2018-01-07,20180107,0.21,0.044
2018-01-08,20180108,0.14,0.03
2018-01-09,20180109,0.26,0.033
2018-01-10,20180110,0.3,0.056
2018-01-11,20180111,0.34,0.07
2018-01-12,20180112,0.4,0.058
2018-01-13,20180113,0.45,0.065
2018-01-14,20180114,0.49,0.071
2018-01-15,20180115,0.58,0.083
2018-01-16,20180116,0.12,0.027
2018-01-17,20180117,0.45,0.081
2018-01-18,20180118,0.44,0.071
2018-01-19,20180119,0.6,0.091
2018-01-20,20180120,0.55,0.071
2018-01-21,20180121,0.58,0.079
2018-01-22,20180122,0.45,0.064
2018-01-23,20180123,0.27,0.044
2018-01-24,20180124,0.44,0.069
2018-01-25,20180125,0.15,0.041
2018-01-26,20180126,0.2,0.044
2018-01-27,20180127,0.63,0.101
2018-01-28,20180128,0.31,0.076
2018-01-29,20180129,0.37,0.079
2018-01-30,20180130,0.38,0.062
2018-01-31,20180131,0.4,0.058
2018-02-01,20180201,0.45,0.072
2018-02-02,20180202,0.6,0.09
2018-02-03,20180203,0.34,0.057
2018-02-04,20180204,0.45,0.075
2018-02-05,20180205,0.44,0.071
2018-02-06,20180206,0.43,0.079
2018-02-07,20180207,0.48,0.071
2018-02-08,20180208,0.48,0.074
2018-02-09,20180209,0.58,0.084
2018-02-10,20180210,0.4,0.085
2018-02-11,20180211,0.4,0.091
2018-02-12,20180212,0.25,0.045
2018-02-13,20180213,0.81,0.094
2018-02-14,20180214,0.54,0.084
2018-02-15,20180215,0.43,0.083
2018-02-16,20180216,0.35,0.064
2018-02-17,20180217,0.87,0.112
2018-02-18,20180218,0.49,0.094
2018-02-19,20180219,0.26,0.05
2018-02-20,20180220,0.73,0.114
2018-02-21,20180221,0.47,0.065
2018-02-22,20180222,0.69,0.09
2018-02-23,20180223,0.73,0.096
2018-02-24,20180224,0.77,0.108
2018-02-25,20180225,0.74,0.112
2018-02-26,20180226,0.95,0.125
2018-02-27,20180227,0.89,0.115
2018-02-28,20180228,0.08,0.013
2018-03-01,20180301,0.54,0.13
2018-03-02,20180302,0.89,0.147
2018-03-03,20180303,0.59,0.152
2018-03-04,20180304,0.72,0.161
2018-03-05,20180305,0.19,0.032
2018-03-06,20180306,1.01,0.159
2018-03-07,20180307,0.26,0.068
2018-03-08,20180308,0.33,0.086
2018-03-09,20180309,0.71,0.118
2018-03-10,20180310,1.09,0.157
2018-03-11,20180311,0.89,0.117
2018-03-12,20180312,1,0.151
2018-03-13,20180313,1.07,0.137
2018-03-14,20180314,0.96,0.149
2018-03-15,20180315,0.19,0.065
2018-03-16,20180316,0.88,0.168
2018-03-17,20180317,1.13,0.173
2018-03-18,20180318,0.58,0.129
2018-03-19,20180319,0.25,0.057
2018-03-20,20180320,0.23,0.056
2018-03-21,20180321,0.66,0.124
2018-03-22,20180322,0.62,0.145
2018-03-23,20180323,1.04,0.132
2018-03-24,20180324,0.96,0.124
2018-03-25,20180325,1.05,0.143
2018-03-26,20180326,1.1,0.138
2018-03-27,20180327,1.15,0.131
2018-03-28,20180328,1.21,0.155
2018-03-29,20180329,1.09,0.157
2018-03-30,20180330,0.92,0.125
2018-03-31,20180331,0.98,0.132
2018-04-01,20180401,1.08,0.15
2018-04-02,20180402,1.25,0.165
2018-04-03,20180403,1.07,0.163
2018-04-04,20180404,0.64,0.128
2018-04-05,20180405,0.94,0.196
2018-04-06,20180406,0.93,0.173
2018-04-07,20180407,0.67,0.147
2018-04-08,20180408,1.14,0.143
2018-04-09,20180409,1.28,0.157
2018-04-10,20180410,1.26,0.199
2018-04-11,20180411,0.97,0.167
2018-04-12,20180412,1.18,0.187
2018-04-13,20180413,0.68,0.143
2018-04-14,20180414,0.25,0.11
2018-04-15,20180415,1.23,0.19
2018-04-16,20180416,1.06,0.177
2018-04-17,20180417,1.08,0.153
2018-04-18,20180418,1.43,0.192
2018-04-19,20180419,1.4,0.192
2018-04-20,20180420,1.42,0.204
2018-04-21,20180421,1.38,0.214
2018-04-22,20180422,0.39,0.177
2018-04-23,20180423,0.2,0.044
2018-04-24,20180424,0.79,0.245
2018-04-25,20180425,0.39,0.101
2018-04-26,20180426,1.1,0.187
2018-04-27,20180427,1.26,0.194
2018-04-28,20180428,1.26,0.178
2018-04-29,20180429,1.29,0.192
2018-04-30,20180430,0.78,0.201
2018-05-01,20180501,0.83,0.18
2018-05-02,20180502,0.31,0.08
2018-05-03,20180503,1.27,0.186
2018-05-04,20180504,1.51,0.212
2018-05-05,20180505,1.18,0.219
2018-05-06,20180506,0.11,0.022
2018-05-07,20180507,0.39,0.097
2018-05-08,20180508,0.83,0.161
2018-05-09,20180509,0.9,0.15
2018-05-10,20180510,1.44,0.22
2018-05-11,20180511,1.55,0.25
2018-05-12,20180512,0.52,0.121
2018-05-13,20180513,0.96,0.207
2018-05-14,20180514,1.45,0.213
2018-05-15,20180515,1,0.224
2018-05-16,20180516,0.45,0.102
2018-05-17,20180517,0.25,0.052
2018-05-18,20180518,0.75,0.177
2018-05-19,20180519,0.8,0.182
2018-05-20,20180520,0.82,0.264
2018-05-21,20180521,1.28,0.244
2018-05-22,20180522,1.23,0.271
2018-05-23,20180523,1.35,0.253
2018-05-24,20180524,1.27,0.253
2018-05-25,20180525,0.98,0.238
2018-05-26,20180526,0.86,0.12
2018-05-27,20180527,1.12,0.259
2018-05-28,20180528,0.46,0.151
2018-05-29,20180529,0.91,0.205
2018-05-30,20180530,1.01,0.159
2018-05-31,20180531,0.87,0.215
2018-06-01,20180601,1.54,0.202
2018-06-02,20180602,1.34,0.217
2018-06-03,20180603,1.32,0.205
2018-06-04,20180604,1.34,0.25
2018-06-05,20180605,0.74,0.262
2018-06-06,20180606,1.08,0.199
2018-06-07,20180607,1.29,0.229
2018-06-08,20180608,1.3,0.241
2018-06-09,20180609,1.35,0.252
2018-06-10,20180610,0.75,0.233
2018-06-11,20180611,0.78,0.164
2018-06-12,20180612,1.45,0.227
2018-06-13,20180613,1.49,0.208
2018-06-14,20180614,1.45,0.24
2018-06-15,20180615,1.6,0.21
2018-06-16,20180616,1.67,0.245
2018-06-17,20180617,1.37,0.237
2018-06-18,20180618,1.08,0.231
2018-06-19,20180619,0.42,0.196
2018-06-20,20180620,1.29,0.26
2018-06-21,20180621,1.7,0.248
2018-06-22,20180622,0.82,0.216
2018-06-23,20180623,1.42,0.25
2018-06-24,20180624,1.59,0.212
2018-06-25,20180625,1.58,0.243
2018-06-26,20180626,0.4,0.075
2018-06-27,20180627,0.27,0.055
2018-06-28,20180628,0.23,0.065
2018-06-29,20180629,0.66,0.15
2018-06-30,20180630,0.43,0.079
2018-07-01,20180701,0.98,0.24
2018-07-02,20180702,1.34,0.261
2018-07-03,20180703,0.58,0.173
2018-07-04,20180704,1.63,0.269
2018-07-05,20180705,0.69,0.149
2018-07-06,20180706,0.51,0.112
2018-07-07,20180707,1.01,0.267
2018-07-08,20180708,1.01,0.196
2018-07-09,20180709,1.3,0.269
2018-07-10,20180710,1.65,0.288
2018-07-11,20180711,1.59,0.287
2018-07-12,20180712,1.26,0.277
2018-07-13,20180713,1.71,0.289
2018-07-14,20180714,1.7,0.265
2018-07-15,20180715,1.32,0.261
2018-07-16,20180716,1.63,0.262
2018-07-17,20180717,1.56,0.273
2018-07-18,20180718,1.37,0.257
2018-07-19,20180719,1.59,0.249
2018-07-20,20180720,1.5,0.242
2018-07-21,20180721,1.32,0.285
2018-07-22,20180722,1.01,0.244
2018-07-23,20180723,1.33,0.322
2018-07-24,20180724,1.23,0.254
2018-07-25,20180725,1.57,0.251
2018-07-26,20180726,1.55,0.25
2018-07-27,20180727,1.6,0.252
2018-07-28,20180728,1.56,0.239
2018-07-29,20180729,1.39,0.243
2018-07-30,20180730,1.04,0.215
2018-07-31,20180731,1.5,0.26
2018-08-01,20180801,1.46,0.252
2018-08-02,20180802,1.43,0.262
2018-08-03,20180803,1.02,0.272
2018-08-04,20180804,1.42,0.242
2018-08-05,20180805,1.42,0.253
2018-08-06,20180806,1.5,0.236
2018-08-07,20180807,0.68,0.145
2018-08-08,20180808,1.37,0.231
2018-08-09,20180809,1.43,0.23
2018-08-10,20180810,1.09,0.209
2018-08-11,20180811,0.97,0.228
2018-08-12,20180812,1.3,0.275
2018-08-13,20180813,1.43,0.266
2018-08-14,20180814,1.49,0.271
