date_prg,date,temp,rain
2018-01-01,20180101,-1.3,0
2018-01-02,20180102,-1.8,0
2018-01-03,20180103,-4.7,0
2018-01-04,20180104,-4.7,0
2018-01-05,20180105,-3,0
2018-01-06,20180106,-2.8,0
2018-01-07,20180107,-0.8,0
2018-01-08,20180108,1.3,0.9
2018-01-09,20180109,-4.2,0.5
2018-01-10,20180110,-7.5,0.3
2018-01-11,20180111,-11.1,0
2018-01-12,20180112,-10.2,0
2018-01-13,20180113,-4.4,0.4
2018-01-14,20180114,0.6,0
2018-01-15,20180115,4.7,0.2
2018-01-16,20180116,3.5,0
2018-01-17,20180117,4.5,0
2018-01-18,20180118,2.1,0
2018-01-19,20180119,1,0
2018-01-20,20180120,2.2,0
2018-01-21,20180121,0.4,0
2018-01-22,20180122,0.2,3.3
2018-01-23,20180123,-11.7,0
2018-01-24,20180124,-14.2,0
2018-01-25,20180125,-14,0
2018-01-26,20180126,-14.8,0
2018-01-27,20180127,-9.9,0
2018-01-28,20180128,-6.3,0
2018-01-29,20180129,-8.5,0
2018-01-30,20180130,-5.3,2.9
2018-01-31,20180131,-2.6,0
2018-02-01,20180201,-4,0
2018-02-02,20180202,-2.4,0
2018-02-03,20180203,-7.3,0.5
2018-02-04,20180204,-9.5,0
2018-02-05,20180205,-9.4,0
2018-02-06,20180206,-10.1,0
2018-02-07,20180207,-8,0
2018-02-08,20180208,-4.4,0
2018-02-09,20180209,0.4,0
2018-02-10,20180210,-0.5,0
2018-02-11,20180211,-6.1,0
2018-02-12,20180212,-5.8,0
2018-02-13,20180213,-0.8,0
2018-02-14,20180214,3.5,0
2018-02-15,20180215,-0.7,0
2018-02-16,20180216,-1.1,0
2018-02-17,20180217,-3,0
2018-02-18,20180218,-0.4,0
2018-02-19,20180219,1.8,0
2018-02-20,20180220,0.9,0
2018-02-21,20180221,-0.9,0
2018-02-22,20180222,1.3,0.4
2018-02-23,20180223,4.2,3.7
2018-02-24,20180224,2.4,0
2018-02-25,20180225,1.9,0
2018-02-26,20180226,3.1,0
2018-02-27,20180227,4.2,0
2018-02-28,20180228,4.6,25
2018-03-01,20180301,-0.2,0.5
2018-03-02,20180302,-0.7,0
2018-03-03,20180303,7.9,0
2018-03-04,20180304,9.8,11.5
2018-03-05,20180305,5.5,3.5
2018-03-06,20180306,4.5,0
2018-03-07,20180307,6.4,0.5
2018-03-08,20180308,4.6,4
2018-03-09,20180309,4.5,0
2018-03-10,20180310,4.6,0
2018-03-11,20180311,6.4,0
2018-03-12,20180312,8,0
2018-03-13,20180313,12.4,0
2018-03-14,20180314,17,0
2018-03-15,20180315,12.4,27
2018-03-16,20180316,7.1,0
2018-03-17,20180317,6.6,0
2018-03-18,20180318,8.2,0.5
2018-03-19,20180319,8,1
2018-03-20,20180320,4.7,0
2018-03-21,20180321,2.1,1
2018-03-22,20180322,4.9,0
2018-03-23,20180323,6.1,0
2018-03-24,20180324,7.6,0
2018-03-25,20180325,9.6,0
2018-03-26,20180326,11,0
2018-03-27,20180327,13.3,0
2018-03-28,20180328,14,0
2018-03-29,20180329,15.4,0
2018-03-30,20180330,14.8,0
2018-03-31,20180331,14,0
2018-04-01,20180401,15.6,0
2018-04-02,20180402,18.4,0
2018-04-03,20180403,17.8,0.1
2018-04-04,20180404,13.4,18.5
2018-04-05,20180405,7.6,10.5
2018-04-06,20180406,5.8,6.5
2018-04-07,20180407,4.2,0.2
2018-04-08,20180408,3.9,3
2018-04-09,20180409,7.9,0
2018-04-10,20180410,15.1,5
2018-04-11,20180411,12.6,0
2018-04-12,20180412,13.3,0
2018-04-13,20180413,14.6,0
2018-04-14,20180414,9,9
2018-04-15,20180415,9.5,0
2018-04-16,20180416,11.6,0
2018-04-17,20180417,12.9,0
2018-04-18,20180418,12.4,0
2018-04-19,20180419,14,0
2018-04-20,20180420,18.4,0
2018-04-21,20180421,18.7,0
2018-04-22,20180422,15.5,15.5
2018-04-23,20180423,9.3,59
2018-04-24,20180424,12.1,3
2018-04-25,20180425,14.6,0
2018-04-26,20180426,14.9,0
2018-04-27,20180427,15.7,0
2018-04-28,20180428,15.4,0
2018-04-29,20180429,16.2,0
2018-04-30,20180430,19.2,0
2018-05-01,20180501,20.4,0
2018-05-02,20180502,15.1,12
2018-05-03,20180503,11.2,1
2018-05-04,20180504,14.1,0
2018-05-05,20180505,18.3,0
2018-05-06,20180506,16.6,22
2018-05-07,20180507,19.2,0
2018-05-08,20180508,17.5,0
2018-05-09,20180509,15.7,0
2018-05-10,20180510,15.4,0
2018-05-11,20180511,16.1,0
2018-05-12,20180512,14.2,32
2018-05-13,20180513,15.8,0.5
2018-05-14,20180514,18.2,0
2018-05-15,20180515,23.2,0
2018-05-16,20180516,22.3,45
2018-05-17,20180517,20.9,83
2018-05-18,20180518,16.3,6.5
2018-05-19,20180519,17.6,0
2018-05-20,20180520,17,0
2018-05-21,20180521,17.8,0
2018-05-22,20180522,18.1,12.5
2018-05-23,20180523,17.3,6.5
2018-05-24,20180524,18.3,0
2018-05-25,20180525,19.7,0
2018-05-26,20180526,21.8,0
2018-05-27,20180527,20.3,0
2018-05-28,20180528,22.3,0
2018-05-29,20180529,21.4,1
2018-05-30,20180530,20.2,0
2018-05-31,20180531,20.9,0
2018-06-01,20180601,23.8,0
2018-06-02,20180602,23.4,0
2018-06-03,20180603,24,0
2018-06-04,20180604,22.6,0
2018-06-05,20180605,23.7,0
2018-06-06,20180606,23,0
2018-06-07,20180607,22.2,0
2018-06-08,20180608,21.9,0
2018-06-09,20180609,23.7,0.5
2018-06-10,20180610,21.3,0.5
2018-06-11,20180611,20.2,5
2018-06-12,20180612,21.3,0
2018-06-13,20180613,22,0
2018-06-14,20180614,21.6,29
2018-06-15,20180615,21.7,16.5
2018-06-16,20180616,22.5,0
2018-06-17,20180617,22.8,0
2018-06-18,20180618,24.8,0
2018-06-19,20180619,22.4,0
2018-06-20,20180620,22.7,0
2018-06-21,20180621,23.7,0
2018-06-22,20180622,25,0
2018-06-23,20180623,24.5,0
2018-06-24,20180624,25.2,0
2018-06-25,20180625,27.1,0
2018-06-26,20180626,22.3,71.5
2018-06-27,20180627,22.3,1
2018-06-28,20180628,23.3,26.5
2018-06-29,20180629,24.7,6.5
2018-06-30,20180630,24.4,14.5
2018-07-01,20180701,21.9,83.5
2018-07-02,20180702,22.6,59.5
2018-07-03,20180703,27.4,0.1
2018-07-04,20180704,27.3,0
2018-07-05,20180705,25.3,0.5
2018-07-06,20180706,23.9,0
2018-07-07,20180707,23.7,0
2018-07-08,20180708,23.3,0
